subentry,measure,reaction,description,ENmin,ENmax,rows,uncertainties,authors,year,reference
"10047007","CS","N,TOT","Cross section for 9Be(n,Total)","2.259","14.799","254","True","D.G.Foster Jr,D.W.Glasgow","1971","Physical Review,Part C,Nuclear Physics 3,576 (1971)"
"10070003","CS","N,TOT","Cross section for 9Be(n,Total)","0.4964","19.92","3450","True","R.B.Schwartz,R.A.Schrack,H.T.Heaton","1971","Bulletin of the American Physical Society 16,495(AH3) (1971); Report other than progress report: NBS-MONO-138  (1974)"
"10319002","DA","N,EL","Differential c/s with respect to angle for 9Be(n,Elastic)9Be","7.55","7.55","6","True","C.E.Hollandsworth,W.P.Bucher,J.Youngblood,A.Niiler","1975","Report other than progress report: BRL-R-1764  (1975)"
"10415006","DA","N,EL","Differential c/s with respect to angle for 9Be(n,Elastic)9Be","0.05","2.25","352","False","R.O.Lane,A.S.Langsdorf Jr,J.E.Monahan,A.J.Elwyn","1961","Annals of Physics (New York) 12,135 (1961)"
"10550002","DA","N,EL","Differential c/s with respect to angle for 9Be(n,Elastic)9Be","6.97","14.94","246","True","H.H.Hogue,P.L.Von Behren,D.H.Epperson,S.G.Glendeinning,P.W.Lisowski,C.E.Nelson,H.W.Newson,P.O.Purser,W.Tornow,C.R.Gould,L.W.Seagondollar","1978","Nuclear Science and Engineering 68,38 (1978); Thesis or dissertation: Hogue  (1977)"
"10550004","CS","N,EL","Cross section for 9Be(n,Elastic)9Be","6.97","14.93","9","True","H.H.Hogue,P.L.Von Behren,D.H.Epperson,S.G.Glendeinning,P.W.Lisowski,C.E.Nelson,H.W.Newson,P.O.Purser,W.Tornow,C.R.Gould,L.W.Seagondollar","1978","Nuclear Science and Engineering 68,38 (1978); Thesis or dissertation: Hogue  (1977)"
"10632008","DA","N,P","Partial differential cross section d/dA for 9Be(n,p)9Li","18.3","18.3","5","True","E.Rosario-Garcia,R.E.Benenson","1977","Nuclear Physics,Section A 275,453 (1977); Bulletin of the American Physical Society 20,559(AN1) (1975)"
"10632009","DA","N,T","Partial differential cross section d/dA for 9Be(n,t)7Li","18.3","18.3","4","True","E.Rosario-Garcia,R.E.Benenson","1977","Nuclear Physics,Section A 275,453 (1977); Bulletin of the American Physical Society 20,559(AN1) (1975)"
"10678002","DA","N,EL","Differential c/s with respect to angle for 9Be(n,Elastic)9Be","5.9","14.2","24","True","D.M.Drake,G.F.Auchampaugh,E.D.Arthur,C.E.Ragan,P.G.Young","1977","Nuclear Science and Engineering 63,401 (1977)"
"10678005","CS","N,EL","Cross section for 9Be(n,Elastic)9Be","5.9","14.2","3","True","D.M.Drake,G.F.Auchampaugh,E.D.Arthur,C.E.Ragan,P.G.Young","1977","Nuclear Science and Engineering 63,401 (1977)"
