subentry,X4file,target,reaction,measure,description,ENmin,ENmax,rows,uncertainties,authors,year,reference
"C0126004","C0126.x4","Li-8","D,T","CS","Cross section for 8Li(d,t)7Li","1.6","2.8","4"," ","M.J.Balbes,M.M.Farrell,R.N.Boyd,X.Gu,M.Hencheck,J.D.Kalen,C.A.Mitchell,J.J.Kolata,K.Lamkin,R.Smith,R.Tighe,K.Ashktorab,F.D.Becchetti,J.Brown,D.Roberts,T.-F.Wang,D.Humphreys,G.Vourvopoulos,M.S.Islam","1993","Physical Review Letters 71,3931 (1993); Dissertation Abstracts B (Sciences) 57,1888 (1996)"
"C0126005","C0126.x4","Li-8","D,N","CS","Partial cross section for 8Li(d,n)9Be","1.6","2.8","4"," ","M.J.Balbes,M.M.Farrell,R.N.Boyd,X.Gu,M.Hencheck,J.D.Kalen,C.A.Mitchell,J.J.Kolata,K.Lamkin,R.Smith,R.Tighe,K.Ashktorab,F.D.Becchetti,J.Brown,D.Roberts,T.-F.Wang,D.Humphreys,G.Vourvopoulos,M.S.Islam","1993","Physical Review Letters 71,3931 (1993); Dissertation Abstracts B (Sciences) 57,1888 (1996)"
"C0870002","C0870.x4","Li-8","D,A","DA","Differential c/s with respect to angle for 8Li(d,alpha)6He","11.44","14.51","6"," ","L.Sahin,A.L.Cole,M.Famiano,R.T.Guray,A.St.J.Murphy,N.Ozkan,J.J.Kolata,V.Guimaraes","2002","Physical Review,Part C,Nuclear Physics 65,038801 (2002)"
"C0870003","C0870.x4","Li-8","D,A","CS","Cross section for 8Li(d,alpha)6He","2.3","3.5","3"," ","L.Sahin,A.L.Cole,M.Famiano,R.T.Guray,A.St.J.Murphy,N.Ozkan,J.J.Kolata,V.Guimaraes","2002","Physical Review,Part C,Nuclear Physics 65,038801 (2002)"
"C1337004","C1337.x4","Li-8","D,T","CS","(( Cross section for 2H(8Li,t)7Li )=( Cross section for 8Li(d,t)7Li ))","1.5","2.8","4"," ","M.J.Balbes,M.M.Farrell,R.N.Boyd,X.Gu,M.Hencheck,J.D.Kalen,C.A.Mitchell,J.J.Kolata,K.Lamkin,R.Smith,R.Tighe,K.Ashktorab,F.D.Becchetti,J.Brown,D.Roberts,T.F.Wang,D.Humphrey,G.Vourvopoulos,M.S.Islam","1995","Nuclear Physics,Section A 584,315 (1995)"
"C1337005","C1337.x4","Li-8","D,N","CS","(( Cross section for 2H(8Li,n)9Be )=( Cross section for 8Li(d,n)9Be ))","1.5","2.8","4"," ","M.J.Balbes,M.M.Farrell,R.N.Boyd,X.Gu,M.Hencheck,J.D.Kalen,C.A.Mitchell,J.J.Kolata,K.Lamkin,R.Smith,R.Tighe,K.Ashktorab,F.D.Becchetti,J.Brown,D.Roberts,T.F.Wang,D.Humphrey,G.Vourvopoulos,M.S.Islam","1995","Nuclear Physics,Section A 584,315 (1995)"
"C1337006","C1337.x4","Li-8","D,T","DA","(( Legendre coefficients Differential c/s with respect to angle for 2H(8Li,t)7Li )=( Legendre coefficients Differential c/s with respect to angle for 8Li(d,t)7Li ))","1.5","2.8","8"," ","M.J.Balbes,M.M.Farrell,R.N.Boyd,X.Gu,M.Hencheck,J.D.Kalen,C.A.Mitchell,J.J.Kolata,K.Lamkin,R.Smith,R.Tighe,K.Ashktorab,F.D.Becchetti,J.Brown,D.Roberts,T.F.Wang,D.Humphrey,G.Vourvopoulos,M.S.Islam","1995","Nuclear Physics,Section A 584,315 (1995)"
"C1337007","C1337.x4","Li-8","D,N","DA","(( Legendre coefficients Differential c/s with respect to angle for 2H(8Li,n)9Be )=( Legendre coefficients Differential c/s with respect to angle for 8Li(d,n)9Be ))","1.5","2.8","8"," ","M.J.Balbes,M.M.Farrell,R.N.Boyd,X.Gu,M.Hencheck,J.D.Kalen,C.A.Mitchell,J.J.Kolata,K.Lamkin,R.Smith,R.Tighe,K.Ashktorab,F.D.Becchetti,J.Brown,D.Roberts,T.F.Wang,D.Humphrey,G.Vourvopoulos,M.S.Islam","1995","Nuclear Physics,Section A 584,315 (1995)"
"E2140002","E2140.x4","Li-8","D,T","DA","Differential c/s with respect to angle for 8Li(d,t)7Li","0.3","1.2","45"," ","T.Hashimoto,H.Ishiyama,Y.X.Watanabe,Y.Hirayama,N.Imai,H.Miyatake,S.C.Jeong,M.-H.Tanaka,N.Yoshikawa,T.Nomura,S.Mitsuoka,K.Nishio,T.K.Sato,A.Osa,S.Ichikawa,M.Matsuda,H.Ikezoe,S.K.Das,Y.Mizoi,T.Fukuda,A.Sato,T.Shimoda,K.Otsuki,T.Kajino","2009","Physics Letters,Section B 674,(4-5),276 (2009); Report containing conference proc.: AIP-1120 177 (2009); Report containing conference proc.: AIP-1016 313 (2008); C,2007TOKYO2,537 (2007)"
"E2140003","E2140.x4","Li-8","D,T","CS","Cross section for 8Li(d,t)7Li","0.3","1.2","8"," ","T.Hashimoto,H.Ishiyama,Y.X.Watanabe,Y.Hirayama,N.Imai,H.Miyatake,S.C.Jeong,M.-H.Tanaka,N.Yoshikawa,T.Nomura,S.Mitsuoka,K.Nishio,T.K.Sato,A.Osa,S.Ichikawa,M.Matsuda,H.Ikezoe,S.K.Das,Y.Mizoi,T.Fukuda,A.Sato,T.Shimoda,K.Otsuki,T.Kajino","2009","Physics Letters,Section B 674,(4-5),276 (2009); Report containing conference proc.: AIP-1120 177 (2009); Report containing conference proc.: AIP-1016 313 (2008); C,2007TOKYO2,537 (2007)"
"S0047004","S0047.x4","Li-8","D,P","CS","Cross section for 8Li(d,p)9Li","7.8","7.8","1"," ","Z.H.Li,W.P.Liu,X.X.Bai,B.Guo,G.Lian,S.Q.Yan,B.X.Wang,S.Zeng,Y.Lu,J.Su,Y.S.Chen,K.S.Wu,N.C.Shu,T.Kajino","2005","Physical Review,Part C,Nuclear Physics 71,052801 (2005); Nuclear Physics,Section A 761,162 (2005)"
"S0048003","S0048.x4","Li-8","D,N","CS","(( Partial cross section for 2H(8Li,n)9Be )=( Partial cross section for 8Li(d,n)9Be ))","8.1","8.1","1"," ","Zeng Sheng,Liu Wei-Ping,Li Zhi-Hong,Bai Xi-Xiang,Yan Sheng-Quan,Wang Bao-Xiang,Lian Gang,Su Jun","2005","J,CPL22,2219 (2005); J,CPL23,(1),55 (2006)"
"S0048004","S0048.x4","Li-8","D,N","CS","(( S-factor Cross section for 2H(8Li,n)9Be )=( S-factor Cross section for 8Li(d,n)9Be ))","8.1","8.1","1"," ","Zeng Sheng,Liu Wei-Ping,Li Zhi-Hong,Bai Xi-Xiang,Yan Sheng-Quan,Wang Bao-Xiang,Lian Gang,Su Jun","2005","J,CPL22,2219 (2005); J,CPL23,(1),55 (2006)"
