subentry,X4file,target,reaction,measure,description,ENmin,ENmax,rows,uncertainties,authors,year,reference
"A1014010","A1014.x4","He-3","A,EL","DA","Differential c/s with respect to angle for 3He(alpha,Elastic)3He","5.94","7.9","90"," ","M.Ivanovich,P.G.Young,G.G.Ohlsen","1968","Nuclear Physics,Section A 110,(2),441 (1968)"
"A1087003","A1087.x4","He-3","A,G","CS","Cross section for 3He(alpha,gamma)7Be","0.481","1.325","5"," ","H.D.Holmgren,R.L.Johnston","1959","Physical Review 113,(6),1556 (1959)"
"A1087003","A1087.x4","He-3","A,G","CS","Cross section for 3He(alpha,gamma)7Be","0.481","1.325","5"," ","H.D.Holmgren,R.L.Johnston","1959","Physical Review 113,(6),1556 (1959)"
"A1088002","A1088.x4","He-3","A,G","CS","Cross section for 3He(alpha,gamma)7Be","0.1867","2.495","43"," ","P.D.Parker,R.W.Kavanagh","1963","Physical Review 131,(6),2578 (1963)"
"A1088002","A1088.x4","He-3","A,G","CS","Cross section for 3He(alpha,gamma)7Be","0.1867","2.495","43"," ","P.D.Parker,R.W.Kavanagh","1963","Physical Review 131,(6),2578 (1963)"
"A1128002","A1128.x4","He-3","A,G","CS","Cross section for 3He(alpha,gamma)7Be","0.1635","0.2469","7"," ","K.Nagatani,M.R.Dwarakanath,D.Ashery","1969","Nuclear Physics,Section A 128,(1),325 (1969)"
"A1128002","A1128.x4","He-3","A,G","CS","Cross section for 3He(alpha,gamma)7Be","0.1635","0.2469","7"," ","K.Nagatani,M.R.Dwarakanath,D.Ashery","1969","Nuclear Physics,Section A 128,(1),325 (1969)"
"A1205002","A1205.x4","He-3","A,G","CS","S-factor Cross section for 3He(alpha,gamma)7Be","0.1072","1.266","39"," ","H.Krawinkel,H.W.Becker,L.Buchmann,J.Gorres,K.U.Kettner,W.E.Kieser,R.Santo,P.Schmalbrock,H.P.Trautvetter,A.Vlieks,C.Rolfs,J.W.Hammer,R.E.Azuma,W.S.Rodney","1982","Zeitschrift fuer Physik,Section A 304,(4),307 (1982)"
"A1205002","A1205.x4","He-3","A,G","CS","S-factor Cross section for 3He(alpha,gamma)7Be","0.1072","1.266","39"," ","H.Krawinkel,H.W.Becker,L.Buchmann,J.Gorres,K.U.Kettner,W.E.Kieser,R.Santo,P.Schmalbrock,H.P.Trautvetter,A.Vlieks,C.Rolfs,J.W.Hammer,R.E.Azuma,W.S.Rodney","1982","Zeitschrift fuer Physik,Section A 304,(4),307 (1982)"
"A1219002","A1219.x4","He-3","A,EL","DA","Differential c/s with respect to angle for 3He(alpha,Elastic)3He","17.79","30.0","280"," ","C.G.Jacobs Jr,R.E.Brown","1970","Physical Review,Part C,Nuclear Physics 1,1615 (1970)"
"A1240002","A1240.x4","He-3","A,G","CS","Cross section for 3He(alpha,gamma)7Be","0.897","0.897","1"," ","R.G.H.Robertson,P.Dyer,T.J.Bowles,R.E.Brown,N.Jarmie,C.J.Maggiore,S.M.Austin","1983","Physical Review,Part C,Nuclear Physics 27,(1),11 (1983)"
"A1240002","A1240.x4","He-3","A,G","CS","Cross section for 3He(alpha,gamma)7Be","0.897","0.897","1"," ","R.G.H.Robertson,P.Dyer,T.J.Bowles,R.E.Brown,N.Jarmie,C.J.Maggiore,S.M.Austin","1983","Physical Review,Part C,Nuclear Physics 27,(1),11 (1983)"
"A1258002","A1258.x4","He-3","A,G","CS","S-factor Cross section for 3He(alpha,gamma)7Be","0.0","0","2"," ","H.Volk,H.Kravinkel,R.Santo,L.Wallek","1983","Zeitschrift fuer Physik,Section A 310,91 (1983)"
"A1258002","A1258.x4","He-3","A,G","CS","S-factor Cross section for 3He(alpha,gamma)7Be","0.0","0","2"," ","H.Volk,H.Kravinkel,R.Santo,L.Wallek","1983","Zeitschrift fuer Physik,Section A 310,91 (1983)"
"A1289002","A1289.x4","He-3","A,G","CS","Cross section for 3He(alpha,gamma)7Be","0.4377","0.6645","4"," ","M.Hilgemeier,H.W.Becker,C.Rolfs,H.P.Trautvetter,J.W.Hammer","1988","Zeitschrift fuer Physik,Section A 329,(2),243 (1988)"
"A1289002","A1289.x4","He-3","A,G","CS","Cross section for 3He(alpha,gamma)7Be","0.4377","0.6645","4"," ","M.Hilgemeier,H.W.Becker,C.Rolfs,H.P.Trautvetter,J.W.Hammer","1988","Zeitschrift fuer Physik,Section A 329,(2),243 (1988)"
"A1312002","A1312.x4","He-3","A,G","CS","Cross section for 3He(alpha,gamma)7Be","0.1814","0.3871","5"," ","P.D.Parker","1969","Private communication: Parker  (1969)"
"A1312002","A1312.x4","He-3","A,G","CS","Cross section for 3He(alpha,gamma)7Be","0.1814","0.3871","5"," ","P.D.Parker","1969","Private communication: Parker  (1969)"
