subentry,X4file,target,reaction,measure,description,ENmin,ENmax,rows,uncertainties,authors,year,reference
"10047007","10047.x4","Be-9","N,TOT","CS","Cross section for 9Be(n,Total)","2.259","14.799","254"," ","D.G.Foster Jr,D.W.Glasgow","1971","Physical Review,Part C,Nuclear Physics 3,576 (1971)"
"10070003","10070.x4","Be-9","N,TOT","CS","Cross section for 9Be(n,Total)","0.4964","19.92","3450"," ","R.B.Schwartz,R.A.Schrack,H.T.Heaton","1971","Bulletin of the American Physical Society 16,495(AH3) (1971); Report other than progress report: NBS-MONO-138  (1974)"
"10194004","10194.x4","Be-9","N,TOT","CS","Cross section for 9Be(n,Total)"," "," ","1"," ","L.W.Jones,M.J.Longo,T.P.Mccorriston,E.F.Parker,S.T.Powell,M.N.Kreisler","1971","Physics Letters,Section B 36,509 (1971)"
"10319002","10319.x4","Be-9","N,EL","DA","Differential c/s with respect to angle for 9Be(n,Elastic)9Be","7.55","7.55","6"," ","C.E.Hollandsworth,W.P.Bucher,J.Youngblood,A.Niiler","1975","Report other than progress report: BRL-R-1764  (1975)"
"10379002","10379.x4","Be-9","N,TOT","CS","Cross section for 9Be(n,Total)","22.9","44.15","5"," ","I.F.Bubb,S.N.Bunker,M.Jain,J.W.Leonard,A.Mcilwain,K.I.Roulston,K.G.Standing,D.O.Wells,B.G.Whitmore","1974","Canadian Journal of Physics 52,648 (1974)"
"10379003","10379.x4","Be-9","N,TOT","CS","Cross section for 9Be(n,Total)","20.7","43.9","5"," ","I.F.Bubb,S.N.Bunker,M.Jain,J.W.Leonard,A.Mcilwain,K.I.Roulston,K.G.Standing,D.O.Wells,B.G.Whitmore","1974","Canadian Journal of Physics 52,648 (1974)"
"10389002","10389.x4","Be-9","N,P","CS","Delayed-neutron emission cross section for 9Be(n,p)9Li","14.5","14.9","2"," ","R.H.Augustson,H.O.Menlove","1974","Nuclear Science and Engineering 54,190 (1974)"
"10403003","10403.x4","Be-9","N,TOT","CS","Cross section for 9Be(n,Total)"," "," ","7"," ","P.V.R.Murthy,C.A.Ayre,H.R.Gustafson,L.W.Jones,M.J.Longo","1975","Nuclear Physics,Section B 92,269 (1975); Physical Review Letters 33,1440 (1974)"
"10415006","10415.x4","Be-9","N,EL","DA","Differential c/s with respect to angle for 9Be(n,Elastic)9Be","0.05","2.25","352"," ","R.O.Lane,A.S.Langsdorf Jr,J.E.Monahan,A.J.Elwyn","1961","Annals of Physics (New York) 12,135 (1961)"
"10550002","10550.x4","Be-9","N,EL","DA","Differential c/s with respect to angle for 9Be(n,Elastic)9Be","6.97","14.94","246"," ","H.H.Hogue,P.L.Von Behren,D.H.Epperson,S.G.Glendeinning,P.W.Lisowski,C.E.Nelson,H.W.Newson,P.O.Purser,W.Tornow,C.R.Gould,L.W.Seagondollar","1978","Nuclear Science and Engineering 68,38 (1978); Thesis or dissertation: Hogue  (1977)"
