projectile,ejectile,target,residual,level,file,sys-error,stat-error,angle-integrated,norm,group,splitnorms,lab,abserr,scale,filedir,Aflip,Ein,eshift,ecalib,splitshifts,ratioRuth,S_factor,Npoints,EXFOR,minRelErr,maxRelErr
H1,H1,Li6,Li6,0,Bashkin-A1454002.dat,5,5,FALSE,1,,FALSE,TRUE,TRUE,mb,Data_X4s/,FALSE,lab,0,0,FALSE,FALSE,FALSE,60,A1454002,2.50E-01,2.52E-01
H1,H1,Li6,Li6,0,Bashkin-C0845002.dat,5,5,FALSE,1,,FALSE,TRUE,TRUE,mb,Data_X4s/,FALSE,lab,0,0,FALSE,TRUE,FALSE,49,C0845002,0.00E+00,0.00E+00
H1,H1,Li6,Li6,0,Bingham-A1431006-1.dat,5,5,FALSE,1,,FALSE,FALSE,TRUE,mb,Data_X4s/,FALSE,lab,0,0,FALSE,FALSE,FALSE,3,A1431006-1,5.78E-02,7.72E-02
H1,H1,Li6,Li6,0,Bingham-A1431006-2.dat,5,5,FALSE,1,,FALSE,FALSE,TRUE,mb,Data_X4s/,FALSE,lab,0,0,FALSE,FALSE,FALSE,1,A1431006-2,5.35E-02,5.35E-02
H1,H1,Li6,Li6,0,Dubovichenko-A0907002.dat,5,5,FALSE,1,,FALSE,FALSE,TRUE,mb,Data_X4s/,FALSE,lab,0,0,FALSE,TRUE,FALSE,65,A0907002,1.41E-01,1.41E-01
H1,H1,Li6,Li6,0,Dubovichenko-A0907003.dat,5,5,FALSE,1,,FALSE,FALSE,TRUE,mb,Data_X4s/,FALSE,lab,0,0,FALSE,TRUE,FALSE,26,A0907003,1.41E-01,1.41E-01
H1,H1,Li6,Li6,0,Dubovichenko-A0907004.dat,5,5,FALSE,1,,FALSE,FALSE,TRUE,mb,Data_X4s/,FALSE,lab,0,0,FALSE,FALSE,FALSE,65,A0907004,1.41E-01,1.41E-01
H1,H1,Li6,Li6,0,Dubovichenko-A0907005.dat,5,5,FALSE,1,,FALSE,FALSE,TRUE,mb,Data_X4s/,FALSE,lab,0,0,FALSE,FALSE,FALSE,26,A0907005,1.41E-01,1.41E-01
H1,H1,Li6,Li6,0,Dubovichenko-D0800002-1.dat,5,5,FALSE,1,,FALSE,FALSE,TRUE,mb,Data_X4s/,FALSE,lab,0,0,FALSE,TRUE,FALSE,65,D0800002-1,1.00E-01,1.00E-01
H1,H1,Li6,Li6,0,Dubovichenko-D0800002-2.dat,5,5,FALSE,1,,FALSE,FALSE,TRUE,mb,Data_X4s/,FALSE,lab,0,0,FALSE,FALSE,FALSE,52,D0800002-2,1.00E-01,1.00E-01
H1,H1,Li6,Li6,0,Dubovichenko-D0800003-1.dat,5,5,FALSE,1,,FALSE,FALSE,TRUE,mb,Data_X4s/,FALSE,lab,0,0,FALSE,TRUE,FALSE,26,D0800003-1,1.00E-01,1.00E-01
H1,H1,Li6,Li6,0,Dubovichenko-D0800003-2.dat,5,5,FALSE,1,,FALSE,FALSE,TRUE,mb,Data_X4s/,FALSE,lab,0,0,FALSE,FALSE,FALSE,26,D0800003-2,1.00E-01,1.00E-01
H1,H1,Li6,Li6,0,Fasoli-D0135002.dat,5,5,FALSE,1,,FALSE,FALSE,TRUE,mb,Data_X4s/,FALSE,lab,0,0,FALSE,FALSE,FALSE,406,D0135002,1.80E-02,1.80E-02
H1,H1,Li6,Li6,0,Fasoli-D0135003.dat,5,5,FALSE,1,,FALSE,FALSE,TRUE,mb,Data_X4s/,FALSE,lab,0,0,FALSE,FALSE,FALSE,88,D0135003,1.80E-02,1.80E-02
H1,H1,Li6,Li6,0,Gould-A1417006.dat,5,5,FALSE,1,,FALSE,FALSE,TRUE,mb,Data_X4s/,FALSE,lab,0,0,FALSE,FALSE,FALSE,26,A1417006,5.68E-03,1.45E-02
H1,H1,Li6,Li6,0,Haller-F0063002.dat,5,5,FALSE,1,,FALSE,FALSE,TRUE,mb,Data_X4s/,FALSE,lab,0,0,FALSE,FALSE,FALSE,921,F0063002,7.00E-02,7.00E-02
H1,H1,Li6,Li6,0,Haller-F0063004.dat,5,5,FALSE,1,,FALSE,FALSE,TRUE,mb,Data_X4s/,FALSE,lab,0,0,FALSE,FALSE,FALSE,774,F0063004,7.00E-02,7.00E-02
