subentry,X4file,target,reaction,measure,description,ENmin,ENmax,rows,uncertainties,authors,year,reference
"C0519010","C0519.x4","C-14","P,N","CS","Cross section for 14C(p,n)14N","1.05781","1.45925","78"," ","T.R.Wang,R.B.Vogelaar,R.W.Kavanagh","1991","Physical Review,Part C,Nuclear Physics 43,883 (1991); Physical Review,Part C,Nuclear Physics 44,1226 (1991)"
"C0561002","C0561.x4","C-14","P,G","CS","Partial cross section for 14C(p,gamma)15N","0.258","0.74","44"," ","J.Goerres,S.Graff,M.Wiescher,R.E.Azuma,C.A.Barnes,H.W.Becker,T.R.Wang","1990","Nuclear Physics,Section A 517,329 (1990)"
"C0561002","C0561.x4","C-14","P,G","CS","Partial cross section for 14C(p,gamma)15N","0.258","0.74","44"," ","J.Goerres,S.Graff,M.Wiescher,R.E.Azuma,C.A.Barnes,H.W.Becker,T.R.Wang","1990","Nuclear Physics,Section A 517,329 (1990)"
"C0561003","C0561.x4","C-14","P,G","DA","Relative data Differential c/s with respect to angle for 14C(p,gamma)15N","0.255","0.66","67"," ","J.Goerres,S.Graff,M.Wiescher,R.E.Azuma,C.A.Barnes,H.W.Becker,T.R.Wang","1990","Nuclear Physics,Section A 517,329 (1990)"
"C0561003","C0561.x4","C-14","P,G","DA","Relative data Differential c/s with respect to angle for 14C(p,gamma)15N","0.255","0.66","67"," ","J.Goerres,S.Graff,M.Wiescher,R.E.Azuma,C.A.Barnes,H.W.Becker,T.R.Wang","1990","Nuclear Physics,Section A 517,329 (1990)"
"C0561005","C0561.x4","C-14","P,G","CS","Partial cross section for 14C(p,gamma)15N","0.258","0.74","41"," ","J.Goerres,S.Graff,M.Wiescher,R.E.Azuma,C.A.Barnes,H.W.Becker,T.R.Wang","1990","Nuclear Physics,Section A 517,329 (1990)"
"C0561005","C0561.x4","C-14","P,G","CS","Partial cross section for 14C(p,gamma)15N","0.258","0.74","41"," ","J.Goerres,S.Graff,M.Wiescher,R.E.Azuma,C.A.Barnes,H.W.Becker,T.R.Wang","1990","Nuclear Physics,Section A 517,329 (1990)"
"C0561006","C0561.x4","C-14","P,G","DA","Relative data Differential c/s with respect to angle for 14C(p,gamma)15N","0.255","0.548","49"," ","J.Goerres,S.Graff,M.Wiescher,R.E.Azuma,C.A.Barnes,H.W.Becker,T.R.Wang","1990","Nuclear Physics,Section A 517,329 (1990)"
"C0561006","C0561.x4","C-14","P,G","DA","Relative data Differential c/s with respect to angle for 14C(p,gamma)15N","0.255","0.548","49"," ","J.Goerres,S.Graff,M.Wiescher,R.E.Azuma,C.A.Barnes,H.W.Becker,T.R.Wang","1990","Nuclear Physics,Section A 517,329 (1990)"
"C1853002","C1853.x4","C-14","P,N","CS","Relative data Cross section for 14C(p,n)14N","0.663","3.4","205"," ","R.M.Sanders","1956","Physical Review 104,1434 (1956)"
"C1876002","C1876.x4","C-14","P,EL","DA","Differential c/s with respect to angle for 14C(p,Elastic)14C","3.7","10.9","296"," ","G.Murillo,M.Fernandez,J.Ramirez,M.G.Mejia-Gil,R.Policroniades,A.Varela,S.E.Dardeny,S.Sen,R.M.Prior,E.Chavez","2011","Revista Mexicana de Fisica 57,55 (2011)"
