subentry,X4file,target,reaction,measure,description,ENmin,ENmax,rows,uncertainties,authors,year,reference
"A0205004","A0205.x4","B-11","A,T","DA","Partial differential cross section d/dA for 11B(alpha,t)12C","24.24","30.0","36"," ","O.I.Vasil'Eva,V.M.Lebedev,A.V.Spasskij,I.B.Teplov,L.N.Fateeva","1983","Izv. Rossiiskoi Akademii Nauk,Ser.Fiz. 47,2248 (1983); Bull.Russian Academy of Sciences - Physics 47,(11),156 (1983)"
"A0216002","A0216.x4","B-11","A,P","DA","Differential c/s with respect to angle for 11B(alpha,p)14C","7.0","7.0","9"," ","R.Bonetti,A.Guglielmetti,G.Poli","1997","Applied Radiation and Isotopes 48,873 (1997)"
"A0216003","A0216.x4","B-11","A,P","CS","Cross section for 11B(alpha,p)14C","3.092","7.681","53"," ","R.Bonetti,A.Guglielmetti,G.Poli","1997","Applied Radiation and Isotopes 48,873 (1997)"
"B0133002","B0133.x4","B-11","A,P","CS","Cross section for 11B(alpha,p)14C","4.4","6.7","39"," ","W.S.Hou,C.S.Lin,M.Wen,H.H.Hsu,J.C.Chou","1978","Nuclear Science and Engineering 66,188 (1978)"
"C0090003","C0090.x4","B-11","A,EL","DA","relative to Rutherford scattering Differential c/s with respect to angle for 11B(alpha,Elastic)11B","0.9787","3.3000000000000003","70"," ","L.C.Mcintyre Jr,J.A.Leavitt,M.D.Ashbaugh,Z.Lin,J.O.Stoner Jr","1992","Nucl. Instrum. Methods in Physics Res.,Sect.B 64,457 (1992)"
"C0519002","C0519.x4","B-11","A,N","CS","S-factor Cross section for 11B(alpha,n)14N","0.2937","1.7597","358"," ","T.R.Wang,R.B.Vogelaar,R.W.Kavanagh","1991","Physical Review,Part C,Nuclear Physics 43,883 (1991); Physical Review,Part C,Nuclear Physics 44,1226 (1991)"
"C0519003","C0519.x4","B-11","A,N","CS","S-factor Cross section for 11B(alpha,n)14N","0.3949","0.5257000000000001","65"," ","T.R.Wang,R.B.Vogelaar,R.W.Kavanagh","1991","Physical Review,Part C,Nuclear Physics 43,883 (1991); Physical Review,Part C,Nuclear Physics 44,1226 (1991)"
"C0519004","C0519.x4","B-11","A,N","CS","S-factor Cross section for 11B(alpha,n)14N","0.4433","0.453","22"," ","T.R.Wang,R.B.Vogelaar,R.W.Kavanagh","1991","Physical Review,Part C,Nuclear Physics 43,883 (1991); Physical Review,Part C,Nuclear Physics 44,1226 (1991)"
"C0519007","C0519.x4","B-11","A,P","CS","Cross section for 11B(alpha,p)14C","0.5976","1.819","57"," ","T.R.Wang,R.B.Vogelaar,R.W.Kavanagh","1991","Physical Review,Part C,Nuclear Physics 43,883 (1991); Physical Review,Part C,Nuclear Physics 44,1226 (1991)"
"C0519008","C0519.x4","B-11","A,P","DA","Relative data Differential c/s with respect to angle for 11B(alpha,p)14C","0.606","0.606","17"," ","T.R.Wang,R.B.Vogelaar,R.W.Kavanagh","1991","Physical Review,Part C,Nuclear Physics 43,883 (1991); Physical Review,Part C,Nuclear Physics 44,1226 (1991)"
"C0519009","C0519.x4","B-11","A,G","DA","Relative data Differential c/s with respect to angle for 11B(alpha,gamma)15N","0.606","0.606","10"," ","T.R.Wang,R.B.Vogelaar,R.W.Kavanagh","1991","Physical Review,Part C,Nuclear Physics 43,883 (1991); Physical Review,Part C,Nuclear Physics 44,1226 (1991)"
