subentry,measure,reaction,description,ENmin,ENmax,rows,uncertainties,authors,year,reference
"C0519002","CS","A,N","S-factor Cross section for 11B(alpha,n)14N","0.2937","1.7597","358"," ","T.R.Wang,R.B.Vogelaar,R.W.Kavanagh","1991","Physical Review,Part C,Nuclear Physics 43,883 (1991); Physical Review,Part C,Nuclear Physics 44,1226 (1991)"
"C0519003","CS","A,N","S-factor Cross section for 11B(alpha,n)14N","0.3949","0.5257000000000001","65"," ","T.R.Wang,R.B.Vogelaar,R.W.Kavanagh","1991","Physical Review,Part C,Nuclear Physics 43,883 (1991); Physical Review,Part C,Nuclear Physics 44,1226 (1991)"
"C0519004","CS","A,N","S-factor Cross section for 11B(alpha,n)14N","0.4433","0.453","22"," ","T.R.Wang,R.B.Vogelaar,R.W.Kavanagh","1991","Physical Review,Part C,Nuclear Physics 43,883 (1991); Physical Review,Part C,Nuclear Physics 44,1226 (1991)"
"C1630002","DA","A,N","Partial differential cross section d/dA for 11B(alpha,n)14N","1.958","7.948","259"," ","L.Van Der Zwan,K.W.Geiger","1975","Nuclear Physics,Section A 246,(1),93 (1975)"
"C1630003","DA","A,N","Partial differential cross section d/dA for 11B(alpha,n)14N","3.319","7.659","164"," ","L.Van Der Zwan,K.W.Geiger","1975","Nuclear Physics,Section A 246,(1),93 (1975)"
"C1630004","DA","A,N","Partial differential cross section d/dA for 11B(alpha,n)14N","5.566","7.943","90"," ","L.Van Der Zwan,K.W.Geiger","1975","Nuclear Physics,Section A 246,(1),93 (1975)"
"C1630006","DA","A,N","Partial differential cross section d/dA for 11B(alpha,n)14N","3.698","3.698","12"," ","L.Van Der Zwan,K.W.Geiger","1975","Nuclear Physics,Section A 246,(1),93 (1975)"
"C1630007","DA","A,N","Partial differential cross section d/dA for 11B(alpha,n)14N","3.712","3.712","12"," ","L.Van Der Zwan,K.W.Geiger","1975","Nuclear Physics,Section A 246,(1),93 (1975)"
"C1630008","DA","A,N","Partial differential cross section d/dA for 11B(alpha,n)14N","3.76","3.76","12"," ","L.Van Der Zwan,K.W.Geiger","1975","Nuclear Physics,Section A 246,(1),93 (1975)"
"C1630009","DA","A,N","Partial differential cross section d/dA for 11B(alpha,n)14N","3.83","3.83","12"," ","L.Van Der Zwan,K.W.Geiger","1975","Nuclear Physics,Section A 246,(1),93 (1975)"
"C1630010","DA","A,N","Partial differential cross section d/dA for 11B(alpha,n)14N","3.91","3.91","12"," ","L.Van Der Zwan,K.W.Geiger","1975","Nuclear Physics,Section A 246,(1),93 (1975)"
"C1630011","DA","A,N","Partial differential cross section d/dA for 11B(alpha,n)14N","3.94","3.94","12"," ","L.Van Der Zwan,K.W.Geiger","1975","Nuclear Physics,Section A 246,(1),93 (1975)"
"C1630012","DA","A,N","Partial differential cross section d/dA for 11B(alpha,n)14N","4.03","4.03","12"," ","L.Van Der Zwan,K.W.Geiger","1975","Nuclear Physics,Section A 246,(1),93 (1975)"
"C1630013","DA","A,N","Partial differential cross section d/dA for 11B(alpha,n)14N","4.23","4.23","12"," ","L.Van Der Zwan,K.W.Geiger","1975","Nuclear Physics,Section A 246,(1),93 (1975)"
"C1630014","DA","A,N","Partial differential cross section d/dA for 11B(alpha,n)14N","4.27","4.27","12"," ","L.Van Der Zwan,K.W.Geiger","1975","Nuclear Physics,Section A 246,(1),93 (1975)"
"C1630015","DA","A,N","Partial differential cross section d/dA for 11B(alpha,n)14N","4.33","4.33","12"," ","L.Van Der Zwan,K.W.Geiger","1975","Nuclear Physics,Section A 246,(1),93 (1975)"
"C1630016","DA","A,N","Partial differential cross section d/dA for 11B(alpha,n)14N","4.45","4.45","11"," ","L.Van Der Zwan,K.W.Geiger","1975","Nuclear Physics,Section A 246,(1),93 (1975)"
"C1630017","DA","A,N","Partial differential cross section d/dA for 11B(alpha,n)14N","4.6","4.6","12"," ","L.Van Der Zwan,K.W.Geiger","1975","Nuclear Physics,Section A 246,(1),93 (1975)"
"C1630018","DA","A,N","Partial differential cross section d/dA for 11B(alpha,n)14N","4.66","4.66","12"," ","L.Van Der Zwan,K.W.Geiger","1975","Nuclear Physics,Section A 246,(1),93 (1975)"
"C1630019","DA","A,N","Partial differential cross section d/dA for 11B(alpha,n)14N","4.73","4.73","12"," ","L.Van Der Zwan,K.W.Geiger","1975","Nuclear Physics,Section A 246,(1),93 (1975)"
"C1630020","DA","A,N","Partial differential cross section d/dA for 11B(alpha,n)14N","4.83","4.83","12"," ","L.Van Der Zwan,K.W.Geiger","1975","Nuclear Physics,Section A 246,(1),93 (1975)"
"C1630021","DA","A,N","Partial differential cross section d/dA for 11B(alpha,n)14N","4.92","4.92","12"," ","L.Van Der Zwan,K.W.Geiger","1975","Nuclear Physics,Section A 246,(1),93 (1975)"
"C1630022","DA","A,N","Partial differential cross section d/dA for 11B(alpha,n)14N","4.96","4.96","12"," ","L.Van Der Zwan,K.W.Geiger","1975","Nuclear Physics,Section A 246,(1),93 (1975)"
"C1630023","DA","A,N","Partial differential cross section d/dA for 11B(alpha,n)14N","5.05","5.05","12"," ","L.Van Der Zwan,K.W.Geiger","1975","Nuclear Physics,Section A 246,(1),93 (1975)"
"C1630024","DA","A,N","Partial differential cross section d/dA for 11B(alpha,n)14N","5.15","5.15","12"," ","L.Van Der Zwan,K.W.Geiger","1975","Nuclear Physics,Section A 246,(1),93 (1975)"
"C1630025","DA","A,N","Partial differential cross section d/dA for 11B(alpha,n)14N","5.22","5.22","12"," ","L.Van Der Zwan,K.W.Geiger","1975","Nuclear Physics,Section A 246,(1),93 (1975)"
"C1630026","DA","A,N","Partial differential cross section d/dA for 11B(alpha,n)14N","5.28","5.28","12"," ","L.Van Der Zwan,K.W.Geiger","1975","Nuclear Physics,Section A 246,(1),93 (1975)"
"C1630027","DA","A,N","Partial differential cross section d/dA for 11B(alpha,n)14N","5.32","5.32","12"," ","L.Van Der Zwan,K.W.Geiger","1975","Nuclear Physics,Section A 246,(1),93 (1975)"
"C1630028","DA","A,N","Partial differential cross section d/dA for 11B(alpha,n)14N","5.36","5.36","12"," ","L.Van Der Zwan,K.W.Geiger","1975","Nuclear Physics,Section A 246,(1),93 (1975)"
"C1630029","DA","A,N","Partial differential cross section d/dA for 11B(alpha,n)14N","5.43","5.43","12"," ","L.Van Der Zwan,K.W.Geiger","1975","Nuclear Physics,Section A 246,(1),93 (1975)"
"C1630030","DA","A,N","Partial differential cross section d/dA for 11B(alpha,n)14N","5.51","5.51","12"," ","L.Van Der Zwan,K.W.Geiger","1975","Nuclear Physics,Section A 246,(1),93 (1975)"
"C1630031","DA","A,N","Partial differential cross section d/dA for 11B(alpha,n)14N","5.53","5.53","12"," ","L.Van Der Zwan,K.W.Geiger","1975","Nuclear Physics,Section A 246,(1),93 (1975)"
"C1630032","DA","A,N","Partial differential cross section d/dA for 11B(alpha,n)14N","5.61","5.61","12"," ","L.Van Der Zwan,K.W.Geiger","1975","Nuclear Physics,Section A 246,(1),93 (1975)"
"C1630033","DA","A,N","Partial differential cross section d/dA for 11B(alpha,n)14N","5.66","5.66","12"," ","L.Van Der Zwan,K.W.Geiger","1975","Nuclear Physics,Section A 246,(1),93 (1975)"
"C1630034","DA","A,N","Partial differential cross section d/dA for 11B(alpha,n)14N","5.7","5.7","12"," ","L.Van Der Zwan,K.W.Geiger","1975","Nuclear Physics,Section A 246,(1),93 (1975)"
"C1630035","DA","A,N","Partial differential cross section d/dA for 11B(alpha,n)14N","5.77","5.77","12"," ","L.Van Der Zwan,K.W.Geiger","1975","Nuclear Physics,Section A 246,(1),93 (1975)"
"C1630036","DA","A,N","Partial differential cross section d/dA for 11B(alpha,n)14N","5.88","5.88","12"," ","L.Van Der Zwan,K.W.Geiger","1975","Nuclear Physics,Section A 246,(1),93 (1975)"
"C1630037","DA","A,N","Partial differential cross section d/dA for 11B(alpha,n)14N","6.06","6.06","11"," ","L.Van Der Zwan,K.W.Geiger","1975","Nuclear Physics,Section A 246,(1),93 (1975)"
"C1630038","DA","A,N","Partial differential cross section d/dA for 11B(alpha,n)14N","6.17","6.17","12"," ","L.Van Der Zwan,K.W.Geiger","1975","Nuclear Physics,Section A 246,(1),93 (1975)"
"C1630039","DA","A,N","Partial differential cross section d/dA for 11B(alpha,n)14N","6.28","6.28","12"," ","L.Van Der Zwan,K.W.Geiger","1975","Nuclear Physics,Section A 246,(1),93 (1975)"
"C1630040","DA","A,N","Partial differential cross section d/dA for 11B(alpha,n)14N","6.36","6.36","12"," ","L.Van Der Zwan,K.W.Geiger","1975","Nuclear Physics,Section A 246,(1),93 (1975)"
"C1630041","DA","A,N","Partial differential cross section d/dA for 11B(alpha,n)14N","6.57","6.57","12"," ","L.Van Der Zwan,K.W.Geiger","1975","Nuclear Physics,Section A 246,(1),93 (1975)"
"C1630042","DA","A,N","Partial differential cross section d/dA for 11B(alpha,n)14N","6.74","6.74","12"," ","L.Van Der Zwan,K.W.Geiger","1975","Nuclear Physics,Section A 246,(1),93 (1975)"
"C1630043","DA","A,N","Partial differential cross section d/dA for 11B(alpha,n)14N","6.83","6.83","12"," ","L.Van Der Zwan,K.W.Geiger","1975","Nuclear Physics,Section A 246,(1),93 (1975)"
"C1630044","DA","A,N","Partial differential cross section d/dA for 11B(alpha,n)14N","6.91","6.91","12"," ","L.Van Der Zwan,K.W.Geiger","1975","Nuclear Physics,Section A 246,(1),93 (1975)"
"C1630045","DA","A,N","Partial differential cross section d/dA for 11B(alpha,n)14N","7.0","7.0","12"," ","L.Van Der Zwan,K.W.Geiger","1975","Nuclear Physics,Section A 246,(1),93 (1975)"
"C1630046","DA","A,N","Partial differential cross section d/dA for 11B(alpha,n)14N","7.17","7.17","12"," ","L.Van Der Zwan,K.W.Geiger","1975","Nuclear Physics,Section A 246,(1),93 (1975)"
"C1630047","DA","A,N","Partial differential cross section d/dA for 11B(alpha,n)14N","7.26","7.26","12"," ","L.Van Der Zwan,K.W.Geiger","1975","Nuclear Physics,Section A 246,(1),93 (1975)"
"C1630048","DA","A,N","Partial differential cross section d/dA for 11B(alpha,n)14N","7.37","7.37","12"," ","L.Van Der Zwan,K.W.Geiger","1975","Nuclear Physics,Section A 246,(1),93 (1975)"
"C1630049","DA","A,N","Partial differential cross section d/dA for 11B(alpha,n)14N","7.54","7.54","12"," ","L.Van Der Zwan,K.W.Geiger","1975","Nuclear Physics,Section A 246,(1),93 (1975)"
"C1630050","DA","A,N","Partial differential cross section d/dA for 11B(alpha,n)14N","7.62","7.62","12"," ","L.Van Der Zwan,K.W.Geiger","1975","Nuclear Physics,Section A 246,(1),93 (1975)"
"C1630051","DA","A,N","Partial differential cross section d/dA for 11B(alpha,n)14N","7.69","7.69","12"," ","L.Van Der Zwan,K.W.Geiger","1975","Nuclear Physics,Section A 246,(1),93 (1975)"
