subentry,X4file,target,reaction,measure,description,ENmin,ENmax,rows,uncertainties,authors,year,reference
"10011004","10011.x4","N-0","N,TOT","CS","Cross section for natN(n,Total)","0.5017","8.9743","689"," ","A.D.Carlson,R.J.Cerbone","1970","Nuclear Science and Engineering 42,28 (1970); Report other than progress report: GA-9149  (1969)"
"10068002","10068.x4","N-0","N,TOT","CS","Cross section for natN(n,Total)","0.4704","25.04","3547"," ","H.T.Heaton Ii,R.B.Schwartz,R.A.Schrack","1970","Bulletin of the American Physical Society 15,568(GF7) (1970); Report other than progress report: NBS-MONO-138  (1974)"
"11011005","11011.x4","N-0","N,TOT","CS","Cross section for natN(n,Total)","0.099","0.849","751"," ","E.G.Bilpuch,J.A.Farrell,G.C.Kyker,P.B.Parks,H.W.Newson","1961","Progress report: WASH-1034 10 (1961); Progress report: WASH-1033 12 (1961)"
"11011009","11011.x4","N-0","N,TOT","CS","Cross section for natN(n,Total)","0.425","0.445","21"," ","E.G.Bilpuch,J.A.Farrell,G.C.Kyker,P.B.Parks,H.W.Newson","1961","Progress report: WASH-1034 10 (1961); Progress report: WASH-1033 12 (1961)"
"11053005","11053.x4","N-0","N,TOT","CS","Cross section for natN(n,Total)","14.1","14.1","1"," ","H.L.Poss,E.O.Salant,G.A.Snow,L.C.L.Yuan","1952","Physical Review 87,11 (1952)"
"11079004","11079.x4","N-0","N,EL","CS","Cross section for natN(n,Elastic)natN","14.1","14.1","1"," ","J.R.Smith","1954","Physical Review 95,730 (1954)"
"11079005","11079.x4","N-0","N,INL","CS","Cross section for natN(n,Inelastic)natN","14.1","14.1","1"," ","J.R.Smith","1954","Physical Review 95,730 (1954)"
"11093007","11093.x4","N-0","N,TOT","CS","Cross section for natN(n,Total)","4.375","8.585","94"," ","R.L.Becker,H.H.Barschall","1956","Physical Review 102,1384 (1956)"
"11108008","11108.x4","N-0","N,TOT","CS","Cross section for natN(n,Total)","17.7","29.1","4"," ","J.M.Peterson,A.Bratenahl,J.P.Stoering","1960","Physical Review 120,521 (1960)"
"11135005","11135.x4","N-0","N,TOT","CS","Maxwellian average Cross section for natN(n,Total)","2.5299999999999998e-08","2.5299999999999998e-08","1"," ","H.Carroll,J.R.Dunning","1941","Physical Review 60,702 (1941); Physical Review 58,1004 (1940)"
"11136006","11136.x4","N-0","N,TOT","CS","Cross section for natN(n,Total)","2.46","2.88","2"," ","W.H.Zinn,S.Seely,V.W.Cohen","1939","Physical Review 56,260 (1939)"
"11150004","11150.x4","N-0","N,TOT","CS","Cross section for natN(n,Total)","3.0999999999999996e-09","0.00233","52"," ","E.Melkonian","1949","Physical Review 76,1750 (1949)"
"11207004","11207.x4","N-0","N,EL","CS","Cross section for natN(n,Elastic)natN","7.0","7.0","1"," ","D.D.Phillips","1960","Progress report: WASH-1028 29 (1960)"
"11207007","11207.x4","N-0","N,EL","DA","Differential c/s with respect to angle for natN(n,Elastic)natN","7.0","7.0","10"," ","D.D.Phillips","1960","Progress report: WASH-1028 29 (1960)"
"11210004","11210.x4","N-0","N,NON","CS","Cross section for natN(n,Nonelastic)","14.15","14.15","1"," ","D.D.Phillips,R.W.Davis,E.R.Graves","1952","Physical Review 88,600 (1952)"
"11266002","11266.x4","N-0","N,TOT","CS","Cross section for natN(n,Total)","0.01","0.13","37"," ","E.G.Bilpuch,L.W.Weston,C.D.Bowman,H.W.Newson","1959","Bulletin of the American Physical Society 4,42(R4) (1959); Private communication: Bilpuch  (1959)"
"11271002","11271.x4","N-0","N,EL","DA","Relative data Differential c/s with respect to angle for natN(n,Elastic)natN","14.0","14.0","15"," ","P.L.Beach,R.W.Finley,R.D.Koshel,R.L.Cassola","1966","Bulletin of the American Physical Society 11,471(EC2) (1966)"
