subentry,X4file,target,reaction,measure,description,ENmin,ENmax,rows,uncertainties,authors,year,reference
"10047010","10047.x4","N-14","N,TOT","CS","Cross section for 14N(n,Total)","2.268","14.996","241"," ","D.G.Foster Jr,D.W.Glasgow","1971","Physical Review,Part C,Nuclear Physics 3,576 (1971)"
"10283002","10283.x4","N-14","N,EL","DA","Differential c/s with respect to angle for 14N(n,Elastic)14N","4.34","8.56","136"," ","F.G.Perey,W.E.Kinney","1974","Report other than progress report: ORNL-4805  (1974)"
"10283003","10283.x4","N-14","N,EL","DA","Differential c/s with respect to angle for 14N(n,Elastic)14N","4.34","8.56","56"," ","F.G.Perey,W.E.Kinney","1974","Report other than progress report: ORNL-4805  (1974)"
"10283004","10283.x4","N-14","N,INL","DA","Partial differential cross section d/dA for 14N(n,Inelastic)14N","6.01","8.56","93"," ","F.G.Perey,W.E.Kinney","1974","Report other than progress report: ORNL-4805  (1974)"
"10283011","10283.x4","N-14","N,EL","CS","Cross section for 14N(n,Elastic)14N","4.34","8.56","8"," ","F.G.Perey,W.E.Kinney","1974","Report other than progress report: ORNL-4805  (1974)"
"10283012","10283.x4","N-14","N,INL","CS","Partial cross section for 14N(n,Inelastic)14N","6.01","8.56","17"," ","F.G.Perey,W.E.Kinney","1974","Report other than progress report: ORNL-4805  (1974)"
"10331003","10331.x4","N-14","N,EL","DA","Differential c/s with respect to angle for 14N(n,Elastic)14N","7.4","9.5","24"," ","W.P.Bucher,C.E.Hollandsworth,D.Mc Natt,R.Lamoreaux,A.Niiler,J.E.Youngblood","1974","Nuclear Science and Engineering 54,416 (1974); Report other than progress report: BRL-R-1652  (1973); Nuclear Instrum.and Methods in Physics Res. 111,237 (1973)"
"10437003","10437.x4","N-14","N,EL","DA","Differential c/s with respect to angle for 14N(n,Elastic)14N","6.25","9.29","22"," ","D.L.Bernard,M.C.Taylor","1975","Conf.on Nucl.Cross-Sect.and Techn.,Washington 1975 2,938 (1975)"
"10437004","10437.x4","N-14","N,INL","DA","Partial differential cross section d/dA for 14N(n,Inelastic)14N","6.25","9.29","40"," ","D.L.Bernard,M.C.Taylor","1975","Conf.on Nucl.Cross-Sect.and Techn.,Washington 1975 2,938 (1975)"
"10776013","10776.x4","N-14","N,2N","CS","Cross section for 14N(n,2n)13N","14.6","14.6","1"," ","R.A.Sigg","1976","Thesis or dissertation: Sigg  (1976); Dissertation Abstracts B (Sciences) 37,2237 (1976)"
"10789002","10789.x4","N-14","N,P","CS","Cross section for 14N(n,p)14C","0.464","6.857","432"," ","G.L.Morgan","1979","Nuclear Science and Engineering 70,163 (1979)"
"10789003","10789.x4","N-14","N,A","CS","Cross section for 14N(n,alpha)11B","1.32","4.097","239"," ","G.L.Morgan","1979","Nuclear Science and Engineering 70,163 (1979)"
"10789004","10789.x4","N-14","N,A","CS","Partial cross section for 14N(n,alpha)11B","4.107","14.495","94"," ","G.L.Morgan","1979","Nuclear Science and Engineering 70,163 (1979)"
"10789005","10789.x4","N-14","N,A","CS","Partial cross section for 14N(n,alpha)11B","4.107","14.495","153"," ","G.L.Morgan","1979","Nuclear Science and Engineering 70,163 (1979)"
"11014003","11014.x4","N-14","N,G","CS","Spectrum average Cross section for 14N(n,gamma)15N","2.53e-08","2.53e-08","1"," ","G.A.Bartholomew,P.J.Campion","1957","Canadian Journal of Physics 35,1347 (1957)"
