subentry,measure,reaction,description,ENmin,ENmax,rows,uncertainties,authors,year,reference
"11333002","CS","N,TOT","Cross section for 15N(n,Total)","0.45","2.241","111","True","D.B.Fossan,R.A.Chalmers,L.F.Chase Jr,S.R.Salisbury","1964","Physical Review 135,B1347 (1964)"
"11335003","CS","N,TOT","Cross section for 15N(n,Total)","3.42","6.45","143","True","D.B.Fossan,R.A.Chalmers,S.R.Salisbury,F.J.Vaughn","1966","Physical Review 152,980 (1966); Bulletin of the American Physical Society 9,32(CA8) (1964)"
"11364002","CS","N,EL","Cross section for 15N(n,Elastic)15N","0.473","1.959","53","False","T.R.Donoghue,A.F.Behof,S.E.Darden","1964","Nuclear Physics 54,49 (1964)"
"20014002","CS","N,TOT","Cross section for 15N(n,Total)","0.89555","19.96","2572","True","B.Zeitnitz,H.H.Dubenkropp,R.Putzki,G.J.Kirouac,S.Cierjacks,J.Nebe,C.B.Dover","1971","Report other than progress report: KFK-1443  (1971)"
"20206002","DA","N,EL","Differential c/s with respect to angle for 15N(n,Elastic)15N","1.924","3.46","1668","True","C.P.Sikkema","1962","Nuclear Physics 32,470 (1962); Physica (Utrecht) 26,379 (1960)"
"20206004","CS","N,TOT","Cross section for 15N(n,Total)","1.906","3.46","64","True","C.P.Sikkema","1962","Nuclear Physics 32,470 (1962); Physica (Utrecht) 26,379 (1960)"
"21171002","CS","N,TOT","Cross section for 15N(n,Total)","2.8","3.61","28","True","L.Schellenberg,E.Baumgartner,P.Huber,F.Seiler","1959","Helvetica Physica Acta 32,357 (1959)"
"21846005","CS","N,P","Cross section for 15N(n,p)15C","14.7","14.7","1","True","W.Schantl","1970","Thesis or dissertation: Schantl  (1970)"
"30007002","CS","N,P","Cross section for 15N(n,p)15C","14.8","14.8","1","True","R.Prasad,D.C.Sarkar","1971","Nuovo Cimento A 3,(3),467 (1971)"
"31768007","CS","N,G","Cross section for 15N(n,gamma)16N","2.5299999999999998e-08","2.5299999999999998e-08","1","True","R.B.Firestone,Zs.Revay","2016","Physical Review,Part C,Nuclear Physics 93,054306 (2016)"
