subentry,X4file,target,reaction,measure,description,ENmin,ENmax,rows,uncertainties,authors,year,reference
"C0459002","C0459.x4","Ne-22","D,P","DA","Partial differential cross section d/dA for 22Ne(d,p)23Ne","24.1","24.1","56"," ","A.E.Champagne,A.J.Howard,Z.Q.Mao","1990","Physical Review,Part C,Nuclear Physics 42,2730 (1990)"
"D0091004","D0091.x4","Ne-22","D,A","CS","Average Cross section for 22Ne(d,alpha)20F"," "," ","3"," ","C.Morand,H.Beaumevieille,A.Dauchy,G.Dumazet,M.Lambert,C.Meynadier","1970","Journal de Physique - Colloque 31,C2-205 (1970)"
"F1177002","F1177.x4","Ne-22","D,N","DA","Relative data Differential c/s with respect to angle for 22Ne(d,n)23Na","5.0","5.0","14"," ","S.Mubarakmand,B.E.F.Macefield","1967","Nuclear Physics,Section A 98,97 (1967)"
"F1177003","F1177.x4","Ne-22","D,N","DA","Relative data Differential c/s with respect to angle for 22Ne(d,n)23Na","5.0","5.0","14"," ","S.Mubarakmand,B.E.F.Macefield","1967","Nuclear Physics,Section A 98,97 (1967)"
"F1177004","F1177.x4","Ne-22","D,N","DA","Relative data Differential c/s with respect to angle for 22Ne(d,n)23Na","5.0","5.0","28"," ","S.Mubarakmand,B.E.F.Macefield","1967","Nuclear Physics,Section A 98,97 (1967)"
"F1177005","F1177.x4","Ne-22","D,N","DA","Relative data Differential c/s with respect to angle for 22Ne(d,n)23Na","5.0","5.0","14"," ","S.Mubarakmand,B.E.F.Macefield","1967","Nuclear Physics,Section A 98,97 (1967)"
"F1177006","F1177.x4","Ne-22","D,N","DA","Relative data Differential c/s with respect to angle for 22Ne(d,n)23Na","5.0","5.0","14"," ","S.Mubarakmand,B.E.F.Macefield","1967","Nuclear Physics,Section A 98,97 (1967)"
"O1621003","O1621.x4","Ne-22","D,P","CS","Cross section for 22Ne(d,p)23Ne","0.8","9.5","8"," ","F.Helus,W.Maier-Borst,H.Bauer,L.I.Wiebe","1986","J.of Radioanalytical and Nuclear Chemistry 98,371 (1986); C,95VANCOU,60 (1995)"
"O1777006","O1777.x4","Ne-22","D,EL","DA","relative to Rutherford scattering Differential c/s with respect to angle for 22Ne(d,Elastic)22Ne","11.6","11.6","26"," ","R.C.Brown,J.A.R.Griffith,O.Karban,L.Mesko,J.M.Nelson,S.Roman","1973","Nuclear Physics,Section A 207,456 (1973)"
"O2095010","O2095.x4","Ne-22","D,P","DA","Relative data Differential c/s with respect to angle for 22Ne(d,p)23Ne","8.5","8.5","6"," ","H.B.Burrows,T.S.Green,S.Hinds,R.Middleton","1956","Proc.Physical Society (London),Section A 69,310 (1956)"
"O2095011","O2095.x4","Ne-22","D,P","DA","Relative data Differential c/s with respect to angle for 22Ne(d,p)23Ne","8.5","8.5","6"," ","H.B.Burrows,T.S.Green,S.Hinds,R.Middleton","1956","Proc.Physical Society (London),Section A 69,310 (1956)"
