subentry,X4file,target,reaction,measure,description,ENmin,ENmax,rows,uncertainties,authors,year,reference
"10022003","10022.x4","Na-23","N,2N","CS","Cross section for 23Na(n,2n)22Na","14.6","14.6","1"," ","R.C.Barrall,J.A.Holmes,M.Silbergeld","1969","Report other than progress report: AFWL-TR-68-134  (1969)"
"10047013","10047.x4","Na-23","N,TOT","CS","Cross section for 23Na(n,Total)","2.257","14.882","243"," ","D.G.Foster Jr,D.W.Glasgow","1971","Physical Review,Part C,Nuclear Physics 3,576 (1971)"
"10104002","10104.x4","Na-23","N,EL","DA","Differential c/s with respect to angle for 23Na(n,Elastic)23Na","5.44","8.52","94"," ","F.G.Perey,W.E.Kinney","1970","Report other than progress report: ORNL-4518  (1970)"
"10104003","10104.x4","Na-23","N,EL","DA","Differential c/s with respect to angle for 23Na(n,Elastic)23Na","5.44","8.52","35"," ","F.G.Perey,W.E.Kinney","1970","Report other than progress report: ORNL-4518  (1970)"
"10104004","10104.x4","Na-23","N,INL","DA","Partial differential cross section d/dA for 23Na(n,Inelastic)23Na","5.44","8.52","56"," ","F.G.Perey,W.E.Kinney","1970","Report other than progress report: ORNL-4518  (1970)"
"10104005","10104.x4","Na-23","N,INL","DA","Differential c/s with respect to angle for 23Na(n,Inelastic)23Na","5.44","8.52","9"," ","F.G.Perey,W.E.Kinney","1970","Report other than progress report: ORNL-4518  (1970)"
"10104006","10104.x4","Na-23","N,INL","DA","Partial differential cross section d/dA for 23Na(n,Inelastic)23Na","5.44","8.52","62"," ","F.G.Perey,W.E.Kinney","1970","Report other than progress report: ORNL-4518  (1970)"
"10104007","10104.x4","Na-23","N,INL","DA","Partial differential cross section d/dA for 23Na(n,Inelastic)23Na","5.44","7.6","46"," ","F.G.Perey,W.E.Kinney","1970","Report other than progress report: ORNL-4518  (1970)"
"10104008","10104.x4","Na-23","N,INL","DA","Partial differential cross section d/dA for 23Na(n,Inelastic)23Na","5.44","8.52","65"," ","F.G.Perey,W.E.Kinney","1970","Report other than progress report: ORNL-4518  (1970)"
"10104012","10104.x4","Na-23","N,INL","DA","Partial differential cross section d/dA for 23Na(n,Inelastic)23Na","6.37","8.52","12"," ","F.G.Perey,W.E.Kinney","1970","Report other than progress report: ORNL-4518  (1970)"
