subentry,measure,reaction,description,ENmin,ENmax,rows,uncertainties,authors,year,reference
"10022003","CS","N,2N","Cross section for 23Na(n,2n)22Na","14.6","14.6","1","True","R.C.Barrall,J.A.Holmes,M.Silbergeld","1969","Report other than progress report: AFWL-TR-68-134  (1969)"
"10047013","CS","N,TOT","Cross section for 23Na(n,Total)","2.257","14.882","243","True","D.G.Foster Jr,D.W.Glasgow","1971","Physical Review,Part C,Nuclear Physics 3,576 (1971)"
"10104002","DA","N,EL","Differential c/s with respect to angle for 23Na(n,Elastic)23Na","5.44","8.52","94","False","F.G.Perey,W.E.Kinney","1970","Report other than progress report: ORNL-4518  (1970)"
"10104052","CS","N,EL","Cross section for 23Na(n,Elastic)23Na","5.44","8.52","4","True","F.G.Perey,W.E.Kinney","1970","Report other than progress report: ORNL-4518  (1970)"
"10122002","CS","N,TOT","Cross section for 23Na(n,Total)","0.6502","19.97","1966","True","J.C.Clement,R.Fairchild,C.G.Goulding,P.Stoler,P.F.Yergin","1970","Progress report: RPI-328-200 24 (1970); 3rd Conf.Neutron Cross-Sections+Tech.,Knoxville 1971 1,311 (1971)"
"10150003","CS","N,G","Cross section for 23Na(n,gamma)24Na","2.5299999999999998e-08","2.5299999999999998e-08","1","True","N.Yamamuro,R.W.Hockenbury,R.C.Block,R.H.Wolfe","1970","Nuclear Science and Engineering 41,445 (1970)"
"10269003","CS","N,TOT","Cross section for 23Na(n,Total)","8.759999999999999e-05","0.3187275","709","False","F.Rahn,H.S.Camarda,G.Hacken,W.W.Havens Jr,H.I.Liou,J.Rainwater,U.N.Singh,M.Slagowitz,S.Wynchank","1973","Physical Review,Part C,Nuclear Physics 8,1827 (1973); Nuclear Structure Conf.,Antwerp 1965 ,526 (1965)"
"10470002","CS","N,TOT","Cross section for 23Na(n,Total)","1.623","1.689","15","False","P.H.Brown,B.L.Quan,J.J.Weiss,R.C.Block","1975","Report other than progress report: COO-2479-2  (1975)"
"10470003","CS","N,TOT","Cross section for 23Na(n,Total)","1.827","1.934","20","False","P.H.Brown,B.L.Quan,J.J.Weiss,R.C.Block","1975","Report other than progress report: COO-2479-2  (1975)"
"10470004","CS","N,TOT","Cross section for 23Na(n,Total)","0.29","0.298","24","False","P.H.Brown,B.L.Quan,J.J.Weiss,R.C.Block","1975","Report other than progress report: COO-2479-2  (1975)"
"10470005","CS","N,TOT","Cross section for 23Na(n,Total)","1.827","1.934","20","False","P.H.Brown,B.L.Quan,J.J.Weiss,R.C.Block","1975","Report other than progress report: COO-2479-2  (1975)"
