subentry,X4file,target,reaction,measure,description,ENmin,ENmax,rows,uncertainties,authors,year,reference
"A0535002","A0535.x4","F-19","D,T","CS","Cross section for 19F(d,t)18F","4.958","11.977","53"," ","S.N.Abramovich,L.N.Generalov,B.Ya.Gyzhovskiy,V.N.Protopopov,A.P.Solodovnikov,V.V.Chulkov","1993","Izv. Rossiiskoi Akademii Nauk,Ser.Fiz. 57,(10),187 (1993); Bull.Russian Academy of Sciences - Physics 57,1832 (1993); 43.Int.Conf.Nucl.Spectrosc.Nucl.Struct.,Dubna 1993 ,249 (1993)"
"A1452004","A1452.x4","F-19","D,N","DA","Differential c/s with respect to angle for 19F(d,n)20Ne","12.04","17.04","18"," ","S.Gangadharan,R.L.Wolke","1970","Physical Review,Part C,Nuclear Physics 1,(4),1333 (1970)"
"C1852002","C1852.x4","F-19","D,P","CS","Cross section for 19F(d,p)20F","0.700665","1.7959770000000002","22"," ","S.C.Snowdon","1950","Physical Review 78,299(2) (1950)"
"C2135007","C2135.x4","F-19","D,N","DA","Relative data Differential c/s with respect to angle for 19F(d,n)20Ne","16.0","16.0","20"," ","M.Febbraro,F.D.Becchetti,R.O.Torres-Isea,A.M.Howard,A.Riggins,C.Lawrence,J.J.Kolata","2014","J,EPJ/CS66,03026 (2014)"
"C2171004","C2171.x4","F-19","D,T","CS","Cross section for 19F(d,t)18F","15.2","15.2","1"," ","L.H.Bowen,J.W.Irvine Jr","1962","Physical Review 127,1698 (1962)"
"C2171009","C2171.x4","F-19","D,T","CS","Cross section for 19F(d,t)18F","5.727","15.208","20"," ","L.H.Bowen,J.W.Irvine Jr","1962","Physical Review 127,1698 (1962)"
"C2272007","C2272.x4","F-19","D,N","DA","Partial differential cross section d/dA for 19F(d,n)20Ne","15.5","15.5","20"," ","M.Febbraro,F.D.Becchetti,R.O.Torres-Isea,J.Riggins,C.C.Lawrence,J.J.Kolata,A.M.Howard","2017","Physical Review,Part C,Nuclear Physics 96,024613 (2017)"
"D0062002","D0062.x4","F-19","D,A","CS","Partial cross section for 19F(d,alpha)17O","3.0","3.0","4"," ","S.Laribi,H.Beaumevieille,N.Bendjaballah,D.Lalanne,J.F.Allard,B.Faid","1972","Nuclear Physics,Section A 191,368 (1972)"
"D0062003","D0062.x4","F-19","D,P","CS","Partial cross section for 19F(d,p)20F","3.0","3.0","5"," ","S.Laribi,H.Beaumevieille,N.Bendjaballah,D.Lalanne,J.F.Allard,B.Faid","1972","Nuclear Physics,Section A 191,368 (1972)"
"D0062004","D0062.x4","F-19","D,A","DA","Partial differential cross section d/dA for 19F(d,alpha)17O","3.0","3.0","42"," ","S.Laribi,H.Beaumevieille,N.Bendjaballah,D.Lalanne,J.F.Allard,B.Faid","1972","Nuclear Physics,Section A 191,368 (1972)"
"D0062005","D0062.x4","F-19","D,P","DA","Partial differential cross section d/dA for 19F(d,p)20F","3.0","3.0","181"," ","S.Laribi,H.Beaumevieille,N.Bendjaballah,D.Lalanne,J.F.Allard,B.Faid","1972","Nuclear Physics,Section A 191,368 (1972)"
"D0071002","D0071.x4","F-19","D,A","DA","Partial differential cross section d/dA for 19F(d,alpha)17O","0.99699","2.4263","405"," ","A.Z.El-Behay,M.A.Farouk,M.H.Nassef,I.I.Zaloubovsky","1965","Nuclear Physics 61,282 (1965)"
"D0071003","D0071.x4","F-19","D,A","DA","Partial differential cross section d/dA for 19F(d,alpha)17O","1.0737","2.4194","103"," ","A.Z.El-Behay,M.A.Farouk,M.H.Nassef,I.I.Zaloubovsky","1965","Nuclear Physics 61,282 (1965)"
"D0071004","D0071.x4","F-19","D,A","DA","Partial differential cross section d/dA for 19F(d,alpha)17O","1.1","2.3","403"," ","A.Z.El-Behay,M.A.Farouk,M.H.Nassef,I.I.Zaloubovsky","1965","Nuclear Physics 61,282 (1965)"
"D0071005","D0071.x4","F-19","D,A","DA","Partial differential cross section d/dA for 19F(d,alpha)17O","1.4","2.3","53"," ","A.Z.El-Behay,M.A.Farouk,M.H.Nassef,I.I.Zaloubovsky","1965","Nuclear Physics 61,282 (1965)"
"D0071006","D0071.x4","F-19","D,A","CS","Partial cross section for 19F(d,alpha)17O","1.1004","1.9086","16"," ","A.Z.El-Behay,M.A.Farouk,M.H.Nassef,I.I.Zaloubovsky","1965","Nuclear Physics 61,282 (1965)"
"D0072002","D0072.x4","F-19","D,P","CS","Partial cross section for 19F(d,p)20F","0.84267","2.5552","93"," ","A.Z.El-Behay,M.A.Farouk,V.J.Gontchar,V.A.Loutsik,M.H.Nassef,I.I.Zaloubovsky","1964","Nuclear Physics 56,224 (1964)"
