subentry,X4file,target,reaction,measure,description,ENmin,ENmax,rows,uncertainties,authors,year,reference
"10176002","10176.x4","Ne-20","N,A","CS","Partial cross section for 20Ne(n,alpha)17O","14.3","14.3","7"," ","S.Kardonsky,H.L.Finston,E.T.Williams","1971","Physical Review,Part C,Nuclear Physics 4,846 (1971)"
"10176004","10176.x4","Ne-20","N,P","CS","Partial cross section for 20Ne(n,p)20F","14.3","14.3","1"," ","S.Kardonsky,H.L.Finston,E.T.Williams","1971","Physical Review,Part C,Nuclear Physics 4,846 (1971)"
"11385002","11385.x4","Ne-20","N,A","CS","Cross section for 20Ne(n,alpha)17O","1.83","3.345","55"," ","C.H.Johnson,C.K.Bockelman,H.H.Barschall","1951","Physical Review 82,117 (1951)"
"11449002","11449.x4","Ne-20","N,A","CS","Cross section for 20Ne(n,alpha)17O","2.5","2.5","1"," ","E.R.Graves,J.H.Coon","1946","Physical Review 70,101(A6) (1946)"
"11451002","11451.x4","Ne-20","N,A","CS","Partial cross section for 20Ne(n,alpha)17O","4.36","7.28","63"," ","R.J.Bell,T.W.Bonner,F.Gabbard","1959","Nuclear Physics 14,270 (1959)"
"11451003","11451.x4","Ne-20","N,A","CS","Partial cross section for 20Ne(n,alpha)17O","4.36","7.28","63"," ","R.J.Bell,T.W.Bonner,F.Gabbard","1959","Nuclear Physics 14,270 (1959)"
"11451006","11451.x4","Ne-20","N,A","CS","Partial cross section for 20Ne(n,alpha)17O","2.8","4.4","157"," ","R.J.Bell,T.W.Bonner,F.Gabbard","1959","Nuclear Physics 14,270 (1959)"
"13139004","13139.x4","Ne-20","N,G","CS","Maxwellian average Cross section for 20Ne(n,gamma)21Ne","0.005","0.1","11"," ","R.R.Winters,R.L.Macklin","1988","Astrophysical Journal 329,943 (1988)"
"13139004","13139.x4","Ne-20","N,G","CS","Maxwellian average Cross section for 20Ne(n,gamma)21Ne","0.005","0.1","11"," ","R.R.Winters,R.L.Macklin","1988","Astrophysical Journal 329,943 (1988)"
"13139007","13139.x4","Ne-20","N,G","CS","Cross section for 20Ne(n,gamma)21Ne","0.14200000000000002","0.152","199"," ","R.R.Winters,R.L.Macklin","1988","Astrophysical Journal 329,943 (1988)"
"13139007","13139.x4","Ne-20","N,G","CS","Cross section for 20Ne(n,gamma)21Ne","0.14200000000000002","0.152","199"," ","R.R.Winters,R.L.Macklin","1988","Astrophysical Journal 329,943 (1988)"
"14352002","14352.x4","Ne-20","N,INL","CS","Partial gamma-production cross section for 20Ne(n,Inelastic)20Ne","1.9","15.0","19"," ","S.Macmullin,M.Boswell,M.Devlin,S.R.Elliott,N.Fotiades,V.E.Guiseppe,R.Henning,T.Kawano,B.H.Laroque,R.O.Nelson,J.M.O'Donnell","2012","Physical Review,Part C,Nuclear Physics 86,067601 (2012)"
