subentry,X4file,target,reaction,measure,description,ENmin,ENmax,rows,uncertainties,authors,year,reference
"A0188003","A0188.x4","O-18","A,N","CS","Cross section for 18O(alpha,n)21Ne"," "," ","49"," ","V.A.Vukolov,F.E.Chukreev","1983","Voprocy Atomnoy Nauki i Tekhniki,Seriya Obshch. ,(4/25),31 (1983)"
"C0489004","C0489.x4","O-18","A,N","CS","Cross section for 18O(alpha,n)21Ne","1.056","2.504","214"," ","J.K.Bair,F.X.Haas","1973","Physical Review,Part C,Nuclear Physics 7,1356 (1973); Progress report: ORNL-4659 38 (1971)"
"C0750003","C0750.x4","O-18","A,EL","DA","relative to Rutherford scattering Differential c/s with respect to angle for 18O(alpha,Elastic)18O","2.4210000000000003","3.503","103"," ","D.Powers,J.K.Bair,J.L.C.Ford Jr,H.B.Willard","1964","Physical Review 134,B1237 (1964)"
"C1268002","C1268.x4","O-18","A,G","CS","Cross section for 18O(alpha,gamma)22Ne","2.14","3.69","12"," ","A.Adams,M.H.Shapiro,W.M.Denny,E.G.Adelberger,C.A.Barnes","1969","Nuclear Physics,Section A 131,430 (1969)"
"C1268002","C1268.x4","O-18","A,G","CS","Cross section for 18O(alpha,gamma)22Ne","2.14","3.69","12"," ","A.Adams,M.H.Shapiro,W.M.Denny,E.G.Adelberger,C.A.Barnes","1969","Nuclear Physics,Section A 131,430 (1969)"
"C2009005","C2009.x4","O-18","A,N","CS","S-factor Cross section for 18O(alpha,n)21Ne","0.934","1.894","269"," ","A.Best,S.Falahat,J.Gorres,M.Couder,R.Deboer,R.T.Guray,A.Kontos,K.-L.Kratz,P.J.Leblanc,Q.Li,S.O'Brien,N.Ozkan,K.Sonnabend,R.Talwar,E.Uberseder,M.Wiescher","2013","Physical Review,Part C,Nuclear Physics 87,045806 (2013)"
"C2009006","C2009.x4","O-18","A,N","CS","S-factor Cross section for 18O(alpha,n)21Ne","1.158","1.8938","246"," ","A.Best,S.Falahat,J.Gorres,M.Couder,R.Deboer,R.T.Guray,A.Kontos,K.-L.Kratz,P.J.Leblanc,Q.Li,S.O'Brien,N.Ozkan,K.Sonnabend,R.Talwar,E.Uberseder,M.Wiescher","2013","Physical Review,Part C,Nuclear Physics 87,045806 (2013)"
"D0272002","D0272.x4","O-18","A,EL","DA","Differential c/s with respect to angle for 18O(alpha,Elastic)18O","2.417","5.059","927"," ","S.Gorodetzky,M.Port,J.Graff,J.M.Thirion,G.Chouraqui","1968","Journal de Physique 29,271 (1968)"
"D0272003","D0272.x4","O-18","A,G","DA","Relative data Differential c/s with respect to angle for 18O(alpha,gamma)22Ne","2.518","3.944","30"," ","S.Gorodetzky,M.Port,J.Graff,J.M.Thirion,G.Chouraqui","1968","Journal de Physique 29,271 (1968)"
"D0272003","D0272.x4","O-18","A,G","DA","Relative data Differential c/s with respect to angle for 18O(alpha,gamma)22Ne","2.518","3.944","30"," ","S.Gorodetzky,M.Port,J.Graff,J.M.Thirion,G.Chouraqui","1968","Journal de Physique 29,271 (1968)"
"D0272004","D0272.x4","O-18","A,N","DA","times statistical weight factor Differential c/s with respect to angle for 18O(alpha,n)21Ne","2.391","5.03","112"," ","S.Gorodetzky,M.Port,J.Graff,J.M.Thirion,G.Chouraqui","1968","Journal de Physique 29,271 (1968)"
