subentry,X4file,target,reaction,measure,description,ENmin,ENmax,rows,uncertainties,authors,year,reference
"11366002","11366.x4","Ne-21","N,A","CS","Maxwellian average Cross section for 21Ne(n,alpha)18O","2.53e-08","2.53e-08","1"," ","E.F.Bennett,W.C.Redman","1968","Progress report: ANL-7310 19 (1968); Progress report: ANL-7357 96 (1967)"
"21808003","21808.x4","Ne-21","N,TOT","CS","Cross section for 21Ne(n,Total)","0.0050999999999999995","0.25889999999999996","300"," ","J.Almeida,F.Kaeppeler","?","Astrophysical Journal 265,417 (1983); Report other than progress report: KFK-3347  (1982); Thesis or dissertation: Almeida  (1982); Conf.on Nucl.Data for Sci.and Technol.,Antwerp 1982 ,948 (1982)"
"21808006","21808.x4","Ne-21","N,TOT","CS","Cross section for 21Ne(n,Total)","0.1333","0.2522","114"," ","J.Almeida,F.Kaeppeler","?","Astrophysical Journal 265,417 (1983); Report other than progress report: KFK-3347  (1982); Thesis or dissertation: Almeida  (1982); Conf.on Nucl.Data for Sci.and Technol.,Antwerp 1982 ,948 (1982)"
"21808009","21808.x4","Ne-21","N,G","CS","Cross section for 21Ne(n,gamma)22Ne","0.0040999999999999995","0.21530000000000002","210"," ","J.Almeida,F.Kaeppeler","?","Astrophysical Journal 265,417 (1983); Report other than progress report: KFK-3347  (1982); Thesis or dissertation: Almeida  (1982); Conf.on Nucl.Data for Sci.and Technol.,Antwerp 1982 ,948 (1982)"
"21808009","21808.x4","Ne-21","N,G","CS","Cross section for 21Ne(n,gamma)22Ne","0.0040999999999999995","0.21530000000000002","210"," ","J.Almeida,F.Kaeppeler","?","Astrophysical Journal 265,417 (1983); Report other than progress report: KFK-3347  (1982); Thesis or dissertation: Almeida  (1982); Conf.on Nucl.Data for Sci.and Technol.,Antwerp 1982 ,948 (1982)"
"21808012","21808.x4","Ne-21","N,G","CS","Maxwellian average Cross section for 21Ne(n,gamma)22Ne","0.02","0.05","6"," ","J.Almeida,F.Kaeppeler","?","Astrophysical Journal 265,417 (1983); Report other than progress report: KFK-3347  (1982); Thesis or dissertation: Almeida  (1982); Conf.on Nucl.Data for Sci.and Technol.,Antwerp 1982 ,948 (1982)"
"21808012","21808.x4","Ne-21","N,G","CS","Maxwellian average Cross section for 21Ne(n,gamma)22Ne","0.02","0.05","6"," ","J.Almeida,F.Kaeppeler","?","Astrophysical Journal 265,417 (1983); Report other than progress report: KFK-3347  (1982); Thesis or dissertation: Almeida  (1982); Conf.on Nucl.Data for Sci.and Technol.,Antwerp 1982 ,948 (1982)"
"21808015","21808.x4","Ne-21","N,G","CS","Average Cross section for 21Ne(n,gamma)22Ne"," "," ","1"," ","J.Almeida,F.Kaeppeler","?","Astrophysical Journal 265,417 (1983); Report other than progress report: KFK-3347  (1982); Thesis or dissertation: Almeida  (1982); Conf.on Nucl.Data for Sci.and Technol.,Antwerp 1982 ,948 (1982)"
"21808015","21808.x4","Ne-21","N,G","CS","Average Cross section for 21Ne(n,gamma)22Ne"," "," ","1"," ","J.Almeida,F.Kaeppeler","?","Astrophysical Journal 265,417 (1983); Report other than progress report: KFK-3347  (1982); Thesis or dissertation: Almeida  (1982); Conf.on Nucl.Data for Sci.and Technol.,Antwerp 1982 ,948 (1982)"
"23265006","23265.x4","Ne-21","N,G","CS","Maxwellian average Cross section for 21Ne(n,gamma)22Ne","0.005","0.1","14"," ","M.Heil,R.Plag,E.Uberseder,R.Gallino,S.Bisterzo,A.Juseviciute,F.Kaeppeler,C.Lederer,A.Mengoni,M.Pignatari","2014","Physical Review,Part C,Nuclear Physics 90,045804 (2014)"
"23265006","23265.x4","Ne-21","N,G","CS","Maxwellian average Cross section for 21Ne(n,gamma)22Ne","0.005","0.1","14"," ","M.Heil,R.Plag,E.Uberseder,R.Gallino,S.Bisterzo,A.Juseviciute,F.Kaeppeler,C.Lederer,A.Mengoni,M.Pignatari","2014","Physical Review,Part C,Nuclear Physics 90,045804 (2014)"
"40794002","40794.x4","Ne-21","N,A","CS","Cross section for 21Ne(n,alpha)18O","2.53e-08","2.53e-08","1"," ","A.I.Abramov,M.G.Jutkin","1961","Zhurnal Eksperimental'noi i Teoret. Fiziki 41,(4),1023 (1961); Soviet Physics - JETP 14,728 (1962)"
"40794003","40794.x4","Ne-21","N,A","CS","(( Cross section for 21Ne(n,alpha)18O )/( Cross section for 3He(n,p)3H ))","2.53e-08","2.53e-08","1"," ","A.I.Abramov,M.G.Jutkin","1961","Zhurnal Eksperimental'noi i Teoret. Fiziki 41,(4),1023 (1961); Soviet Physics - JETP 14,728 (1962)"
"41309004","41309.x4","Ne-21","N,A","CS","Maxwellian average Cross section for 21Ne(n,alpha)18O","2.5299999999999998e-08","2.5299999999999998e-08","1"," ","Yu.M.Gledenov,V.I.Salatskiy,P.V.Sedyshev,P.I.Shalan'Ski,Yu.Andrzeevski,A.Zhak","1997","Report other than progress report: JINR-P3-97-239  (1997)"
"41337004","41337.x4","Ne-21","N,A","CS","Maxwellian average Cross section for 21Ne(n,alpha)18O","2.5299999999999998e-08","2.5299999999999998e-08","1"," ","Yu.M.Gledenov,V.I.Salatski,P.V.Sedyshev,P.J.Shalanski,J.Andrzejevski,A.Zak","1997","Conf.on Nucl.Data for Sci.and Techn.,Trieste 1997 1,511 (1997); Report containing conference proc.: ISINN-5 291 (1997); Report containing conference proc.: JINR-E3-97-213 291 (1997)"
"V0102018","V0102.x4","Ne-21","N,G","CS","Maxwellian average Cross section for 21Ne(n,gamma)22Ne","0.03","0.03","1"," ","Z.Y.Bao,H.Beer,F.Kaeppeler,F.Voss,K.Wisshak,T.Rauscher","2000","Atomic Data and Nuclear Data Tables 76,70 (2000); Report containing conference proc.: EUR-23883 55 (2010); Astrophysical Journal,Supplement 80,403 (1992); Atomic Data and Nuclear Data Tables 36,411 (1987)"
"V0102018","V0102.x4","Ne-21","N,G","CS","Maxwellian average Cross section for 21Ne(n,gamma)22Ne","0.03","0.03","1"," ","Z.Y.Bao,H.Beer,F.Kaeppeler,F.Voss,K.Wisshak,T.Rauscher","2000","Atomic Data and Nuclear Data Tables 76,70 (2000); Report containing conference proc.: EUR-23883 55 (2010); Astrophysical Journal,Supplement 80,403 (1992); Atomic Data and Nuclear Data Tables 36,411 (1987)"
"V1001053","V1001.x4","Ne-21","N,A","CS","Cross section for 21Ne(n,Elastic)21Ne","2.5299999999999998e-08","2.5299999999999998e-08","1"," ","S.F.Mughabghab","2006","B,NEUT.RES (2006)"
"V1001053","V1001.x4","Ne-21","N,A","CS","Cross section for 21Ne(n,alpha)18O","2.5299999999999998e-08","2.5299999999999998e-08","1"," ","S.F.Mughabghab","2006","B,NEUT.RES (2006)"
"V1001053","V1001.x4","Ne-21","N,A","CS","Cross section for 21Ne(n,gamma)22Ne","2.5299999999999998e-08","2.5299999999999998e-08","1"," ","S.F.Mughabghab","2006","B,NEUT.RES (2006)"
"V1001053","V1001.x4","Ne-21","N,A","CS","Scattering radius for 21Ne(n,Elastic)21Ne","2.5299999999999998e-08","2.5299999999999998e-08","1"," ","S.F.Mughabghab","2006","B,NEUT.RES (2006)"
"V1001053","V1001.x4","Ne-21","N,EL","CS","Cross section for 21Ne(n,Elastic)21Ne","2.5299999999999998e-08","2.5299999999999998e-08","1"," ","S.F.Mughabghab","2006","B,NEUT.RES (2006)"
"V1001053","V1001.x4","Ne-21","N,EL","CS","Cross section for 21Ne(n,alpha)18O","2.5299999999999998e-08","2.5299999999999998e-08","1"," ","S.F.Mughabghab","2006","B,NEUT.RES (2006)"
"V1001053","V1001.x4","Ne-21","N,EL","CS","Cross section for 21Ne(n,gamma)22Ne","2.5299999999999998e-08","2.5299999999999998e-08","1"," ","S.F.Mughabghab","2006","B,NEUT.RES (2006)"
"V1001053","V1001.x4","Ne-21","N,EL","CS","Scattering radius for 21Ne(n,Elastic)21Ne","2.5299999999999998e-08","2.5299999999999998e-08","1"," ","S.F.Mughabghab","2006","B,NEUT.RES (2006)"
"V1001053","V1001.x4","Ne-21","N,G","CS","Cross section for 21Ne(n,Elastic)21Ne","2.5299999999999998e-08","2.5299999999999998e-08","1"," ","S.F.Mughabghab","2006","B,NEUT.RES (2006)"
"V1001053","V1001.x4","Ne-21","N,G","CS","Cross section for 21Ne(n,Elastic)21Ne","2.5299999999999998e-08","2.5299999999999998e-08","1"," ","S.F.Mughabghab","2006","B,NEUT.RES (2006)"
"V1001053","V1001.x4","Ne-21","N,G","CS","Cross section for 21Ne(n,alpha)18O","2.5299999999999998e-08","2.5299999999999998e-08","1"," ","S.F.Mughabghab","2006","B,NEUT.RES (2006)"
"V1001053","V1001.x4","Ne-21","N,G","CS","Cross section for 21Ne(n,alpha)18O","2.5299999999999998e-08","2.5299999999999998e-08","1"," ","S.F.Mughabghab","2006","B,NEUT.RES (2006)"
"V1001053","V1001.x4","Ne-21","N,G","CS","Cross section for 21Ne(n,gamma)22Ne","2.5299999999999998e-08","2.5299999999999998e-08","1"," ","S.F.Mughabghab","2006","B,NEUT.RES (2006)"
"V1001053","V1001.x4","Ne-21","N,G","CS","Cross section for 21Ne(n,gamma)22Ne","2.5299999999999998e-08","2.5299999999999998e-08","1"," ","S.F.Mughabghab","2006","B,NEUT.RES (2006)"
"V1001053","V1001.x4","Ne-21","N,G","CS","Scattering radius for 21Ne(n,Elastic)21Ne","2.5299999999999998e-08","2.5299999999999998e-08","1"," ","S.F.Mughabghab","2006","B,NEUT.RES (2006)"
"V1001053","V1001.x4","Ne-21","N,G","CS","Scattering radius for 21Ne(n,Elastic)21Ne","2.5299999999999998e-08","2.5299999999999998e-08","1"," ","S.F.Mughabghab","2006","B,NEUT.RES (2006)"
