subentry,X4file,target,reaction,measure,description,ENmin,ENmax,rows,uncertainties,authors,year,reference
"A0613003","A0613.x4","C-13","A,N","CS","Cross section for 13C(alpha,n)16O","0.279","1.062","55"," ","H.W.Drotleff,A.Denker,H.Knee,M.Soine,G.Wolf,J.W.Hammer,U.Greipe,C.Rolfs,H.P.Trautvetter","1993","Astrophysical Journal 414,735 (1993)"
"A0613005","A0613.x4","C-13","A,N","CS","S-factor Cross section for 13C(alpha,n)16O","0.279","1.062","55"," ","H.W.Drotleff,A.Denker,H.Knee,M.Soine,G.Wolf,J.W.Hammer,U.Greipe,C.Rolfs,H.P.Trautvetter","1993","Astrophysical Journal 414,735 (1993)"
"C0489002","C0489.x4","C-13","A,N","CS","Cross section for 13C(alpha,n)16O","0.9973","5.4019","855"," ","J.K.Bair,F.X.Haas","1973","Physical Review,Part C,Nuclear Physics 7,1356 (1973); Progress report: ORNL-4659 38 (1971)"
"C0517002","C0517.x4","C-13","A,N","CS","Cross section for 13C(alpha,n)16O","0.44993","1.045","13"," ","S.E.Kellogg,R.B.Vogelaar,R.W.Kavanagh","1989","Bulletin of the American Physical Society 34,1192(E10.5) (1989)"
"C0752002","C0752.x4","C-13","A,EL","DA","relative to Rutherford scattering Differential c/s with respect to angle for 13C(alpha,Elastic)13C","1.977","3.528","221"," ","B.K.Barnes,T.A.Belote,J.R.Risser","1965","Physical Review 140,B616 (1965)"
"C0752003","C0752.x4","C-13","A,N","DA","Differential c/s with respect to angle for 13C(alpha,n)16O","1.976","3.447","286"," ","B.K.Barnes,T.A.Belote,J.R.Risser","1965","Physical Review 140,B616 (1965)"
"C0752004","C0752.x4","C-13","A,EL","DA","Differential c/s with respect to angle for 13C(alpha,Elastic)13C","1.98","3.54","893"," ","B.K.Barnes,T.A.Belote,J.R.Risser","1965","Physical Review 140,B616 (1965)"
"D0513002","D0513.x4","C-13","A,N","CS","S-factor Cross section for 13C(alpha,n)16O","0.41600000000000004","0.899","13"," ","M.Heil,R.Detwiler,R.E.Azuma,A.Couture,J.Daly,J.Gorres,F.Kappeler,R.Reifarth,P.Tischhauser,C.Ugalde,M.Wiescher","2008","Physical Review,Part C,Nuclear Physics 78,025803 (2008); Report other than progress report: FZKA-6783  (2002)"
"D0513003","D0513.x4","C-13","A,EL","DA","Differential c/s with respect to angle for 13C(alpha,Elastic)13C","2.9187","6.197","7700"," ","M.Heil,R.Detwiler,R.E.Azuma,A.Couture,J.Daly,J.Gorres,F.Kappeler,R.Reifarth,P.Tischhauser,C.Ugalde,M.Wiescher","2008","Physical Review,Part C,Nuclear Physics 78,025803 (2008); Report other than progress report: FZKA-6783  (2002)"
"D0513004","D0513.x4","C-13","A,EL","DA","Differential c/s with respect to angle for 13C(alpha,Elastic)13C","2.59598","3.02408","744"," ","M.Heil,R.Detwiler,R.E.Azuma,A.Couture,J.Daly,J.Gorres,F.Kappeler,R.Reifarth,P.Tischhauser,C.Ugalde,M.Wiescher","2008","Physical Review,Part C,Nuclear Physics 78,025803 (2008); Report other than progress report: FZKA-6783  (2002)"
"D6089002","D6089.x4","C-13","A,N","CS","Cross section for 13C(alpha,n)16O","1.9421","5.5337","290"," ","K.K.Sekheran,A.S.Divatia,M.K.Mehta,S.S.Kerekatte,K.B.Nambiar","1967","Physical Review 156,(4),1187 (1967)"
"F0056015","F0056.x4","C-13","A,T","DA","Partial differential cross section d/dA for 13C(alpha,t)14N","23.2","23.2","10"," ","T.A.Dmitrieva,V.M.Lebedev,V.G.Markman,A.V.Spasskii,I.B.Teplov","1974","Izv. Rossiiskoi Akademii Nauk,Ser.Fiz. 38,(12),2567 (1974); Bull.Russian Academy of Sciences - Physics 38,(12),91 (1974)"
"F0056016","F0056.x4","C-13","A,T","DA","Partial differential cross section d/dA for 13C(alpha,t)14N","23.7","23.7","17"," ","T.A.Dmitrieva,V.M.Lebedev,V.G.Markman,A.V.Spasskii,I.B.Teplov","1974","Izv. Rossiiskoi Akademii Nauk,Ser.Fiz. 38,(12),2567 (1974); Bull.Russian Academy of Sciences - Physics 38,(12),91 (1974)"
"F0056018","F0056.x4","C-13","A,T","DA","Partial differential cross section d/dA for 13C(alpha,t)14N","18.762","25.194","17"," ","T.A.Dmitrieva,V.M.Lebedev,V.G.Markman,A.V.Spasskii,I.B.Teplov","1974","Izv. Rossiiskoi Akademii Nauk,Ser.Fiz. 38,(12),2567 (1974); Bull.Russian Academy of Sciences - Physics 38,(12),91 (1974)"
"F0304004","F0304.x4","C-13","A,N","CS","Cross section for 13C(alpha,n)16O","0.475","0.7","10"," ","C.N.Davids","1968","Nuclear Physics,Section A 110,619 (1968)"
"F0419003","F0419.x4","C-13","A,N","DA","Relative data Differential c/s with respect to angle for 13C(alpha,n)16O","19.2","22.5","68"," ","G.Deconninck,M.De Vroey,J.P.Meulders,J.Simonet","1963","Nuclear Physics 49,424 (1963)"
"F0464007","F0464.x4","C-13","A,N","DA","Differential c/s with respect to angle for 13C(alpha,n)16O","1.958","5.166","533"," ","T.W.Bonner,A.A.Kraus,J.B.Marion,J.P.Schiffer","1956","Physical Review 102,1348 (1956)"
"F0464008","F0464.x4","C-13","A,N","DA","Differential c/s with respect to angle for 13C(alpha,n)16O","2.09","5.05","35"," ","T.W.Bonner,A.A.Kraus,J.B.Marion,J.P.Schiffer","1956","Physical Review 102,1348 (1956)"
"F0585002","F0585.x4","C-13","A,N","DA","Partial differential cross section d/dA for 13C(alpha,n)16O","4.995","8.657","320"," ","A.D.Robb,W.A.Schier,E.Sheldon","1970","Nuclear Physics,Section A 147,423 (1970)"
"F0585003","F0585.x4","C-13","A,N","DA","Partial differential cross section d/dA for 13C(alpha,n)16O","4.5138","10.488","265"," ","A.D.Robb,W.A.Schier,E.Sheldon","1970","Nuclear Physics,Section A 147,423 (1970)"
"F0697003","F0697.x4","C-13","A,EL","DA","Differential c/s with respect to angle for 13C(alpha,Elastic)13C","18.0","26.6","142"," ","B.I.Kuznetsov,I.P.Chernov,R.E.Ovsyannikova","1973","Yadernaya Fizika 18,950 (1973); Soviet Journal of Nuclear Physics 18,490 (1974)"
"F0697005","F0697.x4","C-13","A,EL","DA","Differential c/s with respect to angle for 13C(alpha,Elastic)13C","17.98","26.78","7"," ","B.I.Kuznetsov,I.P.Chernov,R.E.Ovsyannikova","1973","Yadernaya Fizika 18,950 (1973); Soviet Journal of Nuclear Physics 18,490 (1974)"
"F0786004","F0786.x4","C-13","A,N","CS","Cross section for 13C(alpha,n)16O","0.767","7.962","679"," ","S.Harissopulos,H.W.Becker,J.W.Hammer,A.Lagoyannis,C.Rolfs,F.Strieder","2005","Physical Review,Part C,Nuclear Physics 72,062801 (2005)"
"F0867003","F0867.x4","C-13","A,EL","DA","Differential c/s with respect to angle for 13C(alpha,Elastic)13C","24.0","24.0","59"," ","G.A.Feofilov,A.E.Denisov,R.P.Kolalis,V.S.Sadkovskij,O.V.Chubinskij,Yu.F.Andronov,L.I.Vinogradov","1974","Izv. Rossiiskoi Akademii Nauk,Ser.Fiz. 38,(12),2591 (1974); Bull.Russian Academy of Sciences - Physics 38,(12),113 (1974)"
"F0867005","F0867.x4","C-13","A,INL","DA","Partial differential cross section d/dA for 13C(alpha,Inelastic)13C","24.0","24.0","126"," ","G.A.Feofilov,A.E.Denisov,R.P.Kolalis,V.S.Sadkovskij,O.V.Chubinskij,Yu.F.Andronov,L.I.Vinogradov","1974","Izv. Rossiiskoi Akademii Nauk,Ser.Fiz. 38,(12),2591 (1974); Bull.Russian Academy of Sciences - Physics 38,(12),113 (1974)"
"F0867006","F0867.x4","C-13","A,INL","DA","Partial differential cross section d/dA for 13C(alpha,Inelastic)13C","24.0","24.0","64"," ","G.A.Feofilov,A.E.Denisov,R.P.Kolalis,V.S.Sadkovskij,O.V.Chubinskij,Yu.F.Andronov,L.I.Vinogradov","1974","Izv. Rossiiskoi Akademii Nauk,Ser.Fiz. 38,(12),2591 (1974); Bull.Russian Academy of Sciences - Physics 38,(12),113 (1974)"
"F0867007","F0867.x4","C-13","A,INL","DA","Partial differential cross section d/dA for 13C(alpha,Inelastic)13C","24.0","24.0","63"," ","G.A.Feofilov,A.E.Denisov,R.P.Kolalis,V.S.Sadkovskij,O.V.Chubinskij,Yu.F.Andronov,L.I.Vinogradov","1974","Izv. Rossiiskoi Akademii Nauk,Ser.Fiz. 38,(12),2591 (1974); Bull.Russian Academy of Sciences - Physics 38,(12),113 (1974)"
"F0953002","F0953.x4","C-13","A,D","DA","Partial differential cross section d/dA for 13C(alpha,d)15N","13.095","25.503","97"," ","V.M.Lebedev,A.V.Spassky,I.B.Teplov","1973","Izv. Rossiiskoi Akademii Nauk,Ser.Fiz. 37,2663 (1973); Bull.Russian Academy of Sciences - Physics 37,(12),177 (1974)"
