subentry,X4file,target,reaction,measure,description,ENmin,ENmax,rows,uncertainties,authors,year,reference
"10047011","10047.x4","O-16","N,TOT","CS","Cross section for 16O(n,Total)","2.258","14.865","243"," ","D.G.Foster Jr,D.W.Glasgow","1971","Physical Review,Part C,Nuclear Physics 3,576 (1971)"
"10096021","10096.x4","O-16","N,INL","DA","times statistical weight factor Differential c/s with respect to angle for 16O(n,Inelastic)16O","6.72","11.0","18"," ","J.K.Dickens,F.G.Perey","1970","Nuclear Science and Engineering 40,283 (1970)"
"10096022","10096.x4","O-16","N,A","DA","times 4 pi Differential c/s with respect to angle for 16O(n,alpha)13C","7.93","11.0","8"," ","J.K.Dickens,F.G.Perey","1970","Nuclear Science and Engineering 40,283 (1970)"
"10097002","10097.x4","O-16","N,INL","DA","Partial diff. gamma em. cross section d/dA for 16O(n,Inelastic)16O"," "," ","35"," ","V.J.Orphan,C.G.Hoot,J.John","1970","Nuclear Science and Engineering 42,352 (1970)"
"10097011","10097.x4","O-16","N,INL","CS","Cross section for 16O(n,Inelastic)16O"," "," ","3"," ","V.J.Orphan,C.G.Hoot,J.John","1970","Nuclear Science and Engineering 42,352 (1970)"
"10137007","10137.x4","O-16","N,TOT","CS","Cross section for 16O(n,Total)","1.7555","4.344600000000001","158"," ","J.L.Fowler,C.H.Johnson,R.M.Feezel","1973","Physical Review,Part C,Nuclear Physics 8,545 (1973); 3rd Conf.Neutron Cross-Sections+Tech.,Knoxville 1971 1,179 (1971)"
"10141005","10141.x4","O-16","N,G","CS","Spectrum average Cross section for 16O(n,gamma)17O","0.03","0.03","1"," ","B.J.Allen,R.L.Macklin","1971","Physical Review,Part C,Nuclear Physics 3,1737 (1971)"
"10141005","10141.x4","O-16","N,G","CS","Spectrum average Cross section for 16O(n,gamma)17O","0.03","0.03","1"," ","B.J.Allen,R.L.Macklin","1971","Physical Review,Part C,Nuclear Physics 3,1737 (1971)"
"10197002","10197.x4","O-16","N,TOT","CS","Cross section for 16O(n,Total)","2.37","2.37","1"," ","J.Kalyna,I.J.Taylor,L.J.Lidofsky","1970","Report other than progress report: NYO-73-340  (1970); Report other than progress report: NYO-73-293  (1969)"
"10276002","10276.x4","O-16","N,EL","DA","Differential c/s with respect to angle for 16O(n,Elastic)16O","4.34","8.56","138"," ","W.E.Kinney,F.G.Perey","1972","Report other than progress report: ORNL-4780  (1972)"
"10276003","10276.x4","O-16","N,EL","DA","Differential c/s with respect to angle for 16O(n,Elastic)16O","4.34","8.56","72"," ","W.E.Kinney,F.G.Perey","1972","Report other than progress report: ORNL-4780  (1972)"
"10276014","10276.x4","O-16","N,INL","DA","Partial differential cross section d/dA for 16O(n,Inelastic)16O","7.54","8.56","26"," ","W.E.Kinney,F.G.Perey","1972","Report other than progress report: ORNL-4780  (1972)"
"10276021","10276.x4","O-16","N,INL","DA","Average Differential c/s with respect to angle for 16O(n,Inelastic)16O","7.54","8.56","3"," ","W.E.Kinney,F.G.Perey","1972","Report other than progress report: ORNL-4780  (1972)"
"10276022","10276.x4","O-16","N,EL","CS","Cross section for 16O(n,Elastic)16O","4.34","8.56","8"," ","W.E.Kinney,F.G.Perey","1972","Report other than progress report: ORNL-4780  (1972)"
"10276023","10276.x4","O-16","N,INL","CS","Partial cross section for 16O(n,Inelastic)16O","7.54","8.56","3"," ","W.E.Kinney,F.G.Perey","1972","Report other than progress report: ORNL-4780  (1972)"
"10331004","10331.x4","O-16","N,EL","DA","Differential c/s with respect to angle for 16O(n,Elastic)16O","7.4","9.5","24"," ","W.P.Bucher,C.E.Hollandsworth,D.Mc Natt,R.Lamoreaux,A.Niiler,J.E.Youngblood","1974","Nuclear Science and Engineering 54,416 (1974); Report other than progress report: BRL-R-1652  (1973); Nuclear Instrum.and Methods in Physics Res. 111,237 (1973)"
"10437002","10437.x4","O-16","N,EL","DA","Differential c/s with respect to angle for 16O(n,Elastic)16O","5.05","6.25","28"," ","D.L.Bernard,M.C.Taylor","1975","Conf.on Nucl.Cross-Sect.and Techn.,Washington 1975 2,938 (1975)"
"10668004","10668.x4","O-16","N,G","CS","Cross section for 16O(n,gamma)17O","2.5299999999999998e-08","2.5299999999999998e-08","1"," ","A.B.Mcdonald,E.D.Earle,M.A.Lone,F.C.Khanna,H.C.Lee","1977","Nuclear Physics,Section A 281,325 (1977)"
"10668004","10668.x4","O-16","N,G","CS","Cross section for 16O(n,gamma)17O","2.5299999999999998e-08","2.5299999999999998e-08","1"," ","A.B.Mcdonald,E.D.Earle,M.A.Lone,F.C.Khanna,H.C.Lee","1977","Nuclear Physics,Section A 281,325 (1977)"
"10859002","10859.x4","O-16","N,EL","DA","Differential c/s with respect to angle for 16O(n,Elastic)16O","9.211","14.933","267"," ","S.G.Glendinning,S.El-Kadi,C.E.Nelson,F.O.Purser,C.R.Gould,L.W.Seagondollar","1982","Nuclear Science and Engineering 82,393 (1982)"
"10859003","10859.x4","O-16","N,EL","CS","Cross section for 16O(n,Elastic)16O","9.211","14.933","11"," ","S.G.Glendinning,S.El-Kadi,C.E.Nelson,F.O.Purser,C.R.Gould,L.W.Seagondollar","1982","Nuclear Science and Engineering 82,393 (1982)"
"10965002","10965.x4","O-16","N,EL","DA","Differential c/s with respect to angle for 16O(n,Elastic)16O","24.0","24.0","21"," ","P.Grabmayr,J.Rapaport,R.W.Finlay","1980","Nuclear Physics,Section A 350,167 (1980); Private communication: Finlay  (1981)"
"10965003","10965.x4","O-16","N,INL","DA","Partial differential cross section d/dA for 16O(n,Inelastic)16O","24.0","24.0","29"," ","P.Grabmayr,J.Rapaport,R.W.Finlay","1980","Nuclear Physics,Section A 350,167 (1980); Private communication: Finlay  (1981)"
"11133006","11133.x4","O-16","N,G","CS","Maxwellian average Cross section for 16O(n,gamma)17O","2.53e-08","2.53e-08","1"," ","E.Jurney,H.Motz","1963","Report other than progress report: ANL-6797 236 (1963); Nucl.Physics with Reactor Neutrons Conf.,Argonne 1963 ,236 (1963)"
"11133006","11133.x4","O-16","N,G","CS","Maxwellian average Cross section for 16O(n,gamma)17O","2.53e-08","2.53e-08","1"," ","E.Jurney,H.Motz","1963","Report other than progress report: ANL-6797 236 (1963); Nucl.Physics with Reactor Neutrons Conf.,Argonne 1963 ,236 (1963)"
"11183005","11183.x4","O-16","N,INL","DA","Partial diff. gamma em. cross section d/dA for 16O(n,Inelastic)16O","15.0","15.0","1"," ","J.T.Prud'Homme,I.L.Morgan,J.H.Mc Crary,J.B.Ashe,O.M.Hudson Jr","1960","Report other than progress report: AFSWC-TR-60-30  (1960)"
"11189002","11189.x4","O-16","N,P","CS","Spectrum average Cross section for 16O(n,p)16N"," "," ","1"," ","B.L.Cohen","1951","Physical Review 81,184 (1951)"
"11196004","11196.x4","O-16","N,P","CS","Cross section for 16O(n,p)16N","14.7","14.7","1"," ","J.Kantele,D.G.Gardner","1962","Nuclear Physics 35,353 (1962)"
"11196017","11196.x4","O-16","N,P","CS","(( Cross section for 16O(n,p)16N )/( Cross section for 63Cu(n,2n)62Cu ))","14.7","14.7","1"," ","J.Kantele,D.G.Gardner","1962","Nuclear Physics 35,353 (1962)"
"11196018","11196.x4","O-16","N,P","CS","(( Cross section for 16O(n,p)16N )/( Cross section for 27Al(n,p)27Mg ))","14.7","14.7","1"," ","J.Kantele,D.G.Gardner","1962","Nuclear Physics 35,353 (1962)"
"11196019","11196.x4","O-16","N,P","CS","(( Cross section for 16O(n,p)16N )/( Cross section for 27Al(n,p)27Mg ))","14.7","14.7","1"," ","J.Kantele,D.G.Gardner","1962","Nuclear Physics 35,353 (1962)"
"11218007","11218.x4","O-16","N,INL","DA","Partial diff. gamma em. cross section d/dA*4pi for 16O(n,Inelastic)16O","7.06","7.06","1"," ","R.B.Day","1956","Physical Review 102,767 (1956)"
"11274003","11274.x4","O-16","N,P","CS","Cross section for 16O(n,p)16N","14.5","14.5","1"," ","E.B.Paul,R.L.Clarke","1953","Canadian Journal of Physics 31,267 (1953)"
"11285003","11285.x4","O-16","N,A","CS","Partial cross section for 16O(n,alpha)13C","8.09","8.64","8"," ","E.A.Davis,T.W.Bonner,D.W.Worley Jr,R.Bass","1963","Nuclear Physics 48,169 (1963); Private communication: Davis  (1963)"
"11285004","11285.x4","O-16","N,A","CS","Partial cross section for 16O(n,alpha)13C","5.02","8.77","160"," ","E.A.Davis,T.W.Bonner,D.W.Worley Jr,R.Bass","1963","Nuclear Physics 48,169 (1963); Private communication: Davis  (1963)"
"11285005","11285.x4","O-16","N,A","CS","Partial cross section for 16O(n,alpha)13C","7.62","8.64","18"," ","E.A.Davis,T.W.Bonner,D.W.Worley Jr,R.Bass","1963","Nuclear Physics 48,169 (1963); Private communication: Davis  (1963)"
"11302006","11302.x4","O-16","N,D","CS","Cross section for 16O(n,d)15N","14.1","14.1","1"," ","A.B.Lillie","1952","Physical Review 87,716 (1952)"
"11321003","11321.x4","O-16","N,EL","DA","Differential c/s with respect to angle for 16O(n,Elastic)16O","5.0","5.0","10"," ","R.W.Hill","1958","Physical Review 109,2105 (1958)"
"11334004","11334.x4","O-16","N,EL","DA","Legendre coefficients Differential c/s with respect to angle for 16O(n,Elastic)16O","3.066","4.73","896"," ","D.Lister,A.Sayres","1966","Physical Review 143,745 (1966)"
"11334009","11334.x4","O-16","N,EL","CS","Cross section for 16O(n,Elastic)16O","3.066","4.73","129"," ","D.Lister,A.Sayres","1966","Physical Review 143,745 (1966)"
"11346011","11346.x4","O-16","N,INL","DA","Partial differential cross section d/dA for 16O(n,Inelastic)16O","14.0","14.0","16"," ","R.W.Bauer,J.D.Anderson,L.J.Christensen","1963","Nuclear Physics 47,241 (1963)"
"11346012","11346.x4","O-16","N,INL","DA","Partial differential cross section d/dA for 16O(n,Inelastic)16O","14.0","14.0","32"," ","R.W.Bauer,J.D.Anderson,L.J.Christensen","1963","Nuclear Physics 47,241 (1963)"
"11362003","11362.x4","O-16","N,INL","CS","Partial gamma-production cross section for 16O(n,Inelastic)16O","14.1","14.1","2"," ","L.C.Thompson,J.R.Risser","1954","Physical Review 94,941 (1954)"
"11369002","11369.x4","O-16","N,P","CS","Cross section for 16O(n,p)16N","12.61","16.3","22"," ","K.W.Seeman,W.E.Moore","1962","Report other than progress report: KAPL-2214  (1962); Bulletin of the American Physical Society 6,237(DA15) (1961)"
"11383003","11383.x4","O-16","N,INL","CS","Partial gamma-production cross section for 16O(n,Inelastic)16O","14.1","14.1","4"," ","W.J.Mac Donald,J.M.Robson,R.Malcolm","1966","Nuclear Physics 75,353 (1966)"
"11383004","11383.x4","O-16","N,INL","CS","Partial cross section for 16O(n,Inelastic)16O","14.1","14.1","3"," ","W.J.Mac Donald,J.M.Robson,R.Malcolm","1966","Nuclear Physics 75,353 (1966)"
"11383005","11383.x4","O-16","N,INL","DA","Partial differential cross section d/dA for 16O(n,Inelastic)16O","14.1","14.1","45"," ","W.J.Mac Donald,J.M.Robson,R.Malcolm","1966","Nuclear Physics 75,353 (1966)"
"11390002","11390.x4","O-16","N,P","CS","Cross section for 16O(n,p)16N","12.4","17.95","11"," ","H.C.Martin","1954","Physical Review 93,498 (1954)"
"11411002","11411.x4","O-16","N,P","CS","Cross section for 16O(n,p)16N","14.7","14.7","1"," ","J.A.De Juren,R.W.Stooksberry","1960","Physical Review 120,901 (1960)"
"11415002","11415.x4","O-16","N,P","CS","Cross section for 16O(n,p)16N","11.08","19.04","27"," ","J.A.De Juren,R.W.Stooksbury,M.Wallis","1962","Physical Review 127,1229 (1962)"
"11433002","11433.x4","O-16","N,A","DA","Partial differential cross section d/dA for 16O(n,alpha)13C","14.1","14.1","12"," ","D.R.Maxson,R.D.Murphy","1968","Nuclear Physics,Section A 110,555 (1968); Private communication: Murphy  (1967)"
"11433003","11433.x4","O-16","N,A","DA","Partial differential cross section d/dA for 16O(n,alpha)13C","14.1","14.1","6"," ","D.R.Maxson,R.D.Murphy","1968","Nuclear Physics,Section A 110,555 (1968); Private communication: Murphy  (1967)"
"12524009","12524.x4","O-16","N,TOT","CS","Cross section for 16O(n,Total)","14.12","14.12","1"," ","J.H.Coon,E.R.Graves,H.H.Barschall","1952","Physical Review 88,562 (1952); Report other than progress report: LA-1446  (1952)"
"12524059","12524.x4","O-16","N,TOT","CS","Cross section for 16O(n,Total)","14.12","14.12","1"," ","J.H.Coon,E.R.Graves,H.H.Barschall","1952","Physical Review 88,562 (1952); Report other than progress report: LA-1446  (1952)"
"12657004","12657.x4","O-16","N,EL","DA","Relative data Differential c/s with respect to angle for 16O(n,Elastic)16O","14.2","14.2","12"," ","F.G.J.Perey","1960","Thesis or dissertation: Perey  (1960); Bulletin of the American Physical Society 5,18 (1960)"
"12657005","12657.x4","O-16","N,INL","DA","Relative data Differential c/s with respect to angle for 16O(n,Inelastic)16O","14.2","14.2","24"," ","F.G.J.Perey","1960","Thesis or dissertation: Perey  (1960); Bulletin of the American Physical Society 5,18 (1960)"
"12695005","12695.x4","O-16","N,INL","DA","Partial diff. gamma em. cross section d/dA for 16O(n,Inelastic)16O","14.8","14.8","11"," ","I.L.Morgan,J.B.Ashe,D.O.Nellis","1964","Progress report: TID-22012 158 (1964); Progress report: ORO-2791-32 8 (1971); Progress report: ORO-2791-28  (1969)"
"12695005","12695.x4","O-16","N,INL","DA","Partial differential cross section d/dA for 16O(n,Unspecified+natG)","14.8","14.8","11"," ","I.L.Morgan,J.B.Ashe,D.O.Nellis","1964","Progress report: TID-22012 158 (1964); Progress report: ORO-2791-32 8 (1971); Progress report: ORO-2791-28  (1969)"
"12695006","12695.x4","O-16","N,INL","DA","Partial diff. gamma em. c/s d/dA rel.to 90 deg. for 16O(n,Inelastic)16O","14.8","14.8","7"," ","I.L.Morgan,J.B.Ashe,D.O.Nellis","1964","Progress report: TID-22012 158 (1964); Progress report: ORO-2791-32 8 (1971); Progress report: ORO-2791-28  (1969)"
"12696003","12696.x4","O-16","N,INL","DA","Partial differential cross section d/dA for 16O(n,Inelastic)16O","14.8","14.8","11"," ","W.E.Tucker,D.O.Nellis,P.S.Buchanan,J.A.Stout","1969","Progress report: ORO-2791-30 49 (1969); Progress report: ORO-2791-32 8 (1970)"
"12962002","12962.x4","O-16","N,EL","DA","Differential c/s with respect to angle for 16O(n,Elastic)16O","23.0","23.0","24"," ","S.T.Lam,W.K.Dawson,S.A.Elbakr,H.W.Fielding,P.W.Green,R.L.Helmer,I.J.Van Heerden,A.H.Hussein,S.P.Kwan,G.C.Neilson,T.Otsubo,D.M.Sheppard,H.S.Sherif,J.Soukup","1985","Physical Review,Part C,Nuclear Physics 32,76 (1985)"
"13194003","13194.x4","O-16","N,INL","DA","Partial differential cross section d/dA for 16O(n,Inelastic)16O","20.0","26.0","357"," ","M.S.Islam,R.W.Finlay,J.S.Peter","1987","Nuclear Physics,Section A 464,395 (1987)"
"13750003","13750.x4","O-16","N,INL","DA","Partial diff. gamma em. cross section d/dA for 16O(n,Inelastic)16O","4.5","212.0","182"," ","R.O.Nelson,M.B.Chadwick,A.Michaudon,P.G.Young","2001","Nuclear Science and Engineering 138,105 (2001); Report other than progress report: LA-UR-99-4170  (1999)"
"13750004","13750.x4","O-16","N,INL","DA","Partial diff. gamma em. cross section d/dA for 16O(n,Inelastic)16O","8.5","19.0","48"," ","R.O.Nelson,M.B.Chadwick,A.Michaudon,P.G.Young","2001","Nuclear Science and Engineering 138,105 (2001); Report other than progress report: LA-UR-99-4170  (1999)"
"13750005","13750.x4","O-16","N,INL","CS","Partial gamma-production cross section for 16O(n,Inelastic)16O","4.5","212.0","343"," ","R.O.Nelson,M.B.Chadwick,A.Michaudon,P.G.Young","2001","Nuclear Science and Engineering 138,105 (2001); Report other than progress report: LA-UR-99-4170  (1999)"
"13750006","13750.x4","O-16","N,A","DA","Partial diff. gamma em. cross section d/dA for 16O(n,alpha)13C","4.5","205.8","3808"," ","R.O.Nelson,M.B.Chadwick,A.Michaudon,P.G.Young","2001","Nuclear Science and Engineering 138,105 (2001); Report other than progress report: LA-UR-99-4170  (1999)"
"13750007","13750.x4","O-16","N,A","CS","Partial gamma-production cross section for 16O(n,alpha)13C","4.5","205.8","445"," ","R.O.Nelson,M.B.Chadwick,A.Michaudon,P.G.Young","2001","Nuclear Science and Engineering 138,105 (2001); Report other than progress report: LA-UR-99-4170  (1999)"
"13750010","13750.x4","O-16","N,P","DA","Partial diff. gamma em. cross section d/dA for 16O(n,p)16N","4.5","212.0","497"," ","R.O.Nelson,M.B.Chadwick,A.Michaudon,P.G.Young","2001","Nuclear Science and Engineering 138,105 (2001); Report other than progress report: LA-UR-99-4170  (1999)"
"13750011","13750.x4","O-16","N,P","CS","Partial gamma-production cross section for 16O(n,p)16N","4.5","212.0","71"," ","R.O.Nelson,M.B.Chadwick,A.Michaudon,P.G.Young","2001","Nuclear Science and Engineering 138,105 (2001); Report other than progress report: LA-UR-99-4170  (1999)"
"13750012","13750.x4","O-16","N,D","DA","times statistical weight factor Differential c/s with respect to angle for 16O(n,d)15N","13.0","212.0","18"," ","R.O.Nelson,M.B.Chadwick,A.Michaudon,P.G.Young","2001","Nuclear Science and Engineering 138,105 (2001); Report other than progress report: LA-UR-99-4170  (1999)"
"13750013","13750.x4","O-16","N,D","CS","Partial gamma-production cross section for 16O(n,d)15N","13.0","212.0","36"," ","R.O.Nelson,M.B.Chadwick,A.Michaudon,P.G.Young","2001","Nuclear Science and Engineering 138,105 (2001); Report other than progress report: LA-UR-99-4170  (1999)"
"13750014","13750.x4","O-16","N,T","DA","Partial diff. gamma em. cross section d/dA for 16O(n,t)14N","15.0","212.0","119"," ","R.O.Nelson,M.B.Chadwick,A.Michaudon,P.G.Young","2001","Nuclear Science and Engineering 138,105 (2001); Report other than progress report: LA-UR-99-4170  (1999)"
"13750015","13750.x4","O-16","N,T","CS","Partial gamma-production cross section for 16O(n,t)14N","15.0","212.0","17"," ","R.O.Nelson,M.B.Chadwick,A.Michaudon,P.G.Young","2001","Nuclear Science and Engineering 138,105 (2001); Report other than progress report: LA-UR-99-4170  (1999)"
"13750016","13750.x4","O-16","N,2N","DA","Partial diff. gamma em. cross section d/dA for 16O(n,2n)15O","15.0","212.0","119"," ","R.O.Nelson,M.B.Chadwick,A.Michaudon,P.G.Young","2001","Nuclear Science and Engineering 138,105 (2001); Report other than progress report: LA-UR-99-4170  (1999)"
"13750017","13750.x4","O-16","N,2N","CS","Partial gamma-production cross section for 16O(n,2n)15O","15.0","212.0","17"," ","R.O.Nelson,M.B.Chadwick,A.Michaudon,P.G.Young","2001","Nuclear Science and Engineering 138,105 (2001); Report other than progress report: LA-UR-99-4170  (1999)"
"13979002","13979.x4","O-16","N,EL","DA","Differential c/s with respect to angle for 16O(n,Elastic)16O","10.0","17.0","77"," ","L.Anli,H.G.Pfutzner,C.R.Howell,R.L.Walter","1989","Chinese J.of Nuclear Physics (Beijing). 11,(3),1 (1989)"
"14189048","14189.x4","O-16","N,EL","DA","Differential c/s with respect to angle for 16O(n,Elastic)16O","9.2","9.2","24"," ","J.H.Dave,C.R.Gould","1983","Physical Review,Part C,Nuclear Physics 28,2212 (1983)"
"14189049","14189.x4","O-16","N,EL","DA","Differential c/s with respect to angle for 16O(n,Elastic)16O","10.7","10.7","17"," ","J.H.Dave,C.R.Gould","1983","Physical Review,Part C,Nuclear Physics 28,2212 (1983)"
"14189050","14189.x4","O-16","N,EL","DA","Differential c/s with respect to angle for 16O(n,Elastic)16O","12.5","12.5","18"," ","J.H.Dave,C.R.Gould","1983","Physical Review,Part C,Nuclear Physics 28,2212 (1983)"
"14189051","14189.x4","O-16","N,EL","DA","Differential c/s with respect to angle for 16O(n,Elastic)16O","14.0","14.0","30"," ","J.H.Dave,C.R.Gould","1983","Physical Review,Part C,Nuclear Physics 28,2212 (1983)"
"14189052","14189.x4","O-16","N,EL","DA","Differential c/s with respect to angle for 16O(n,Elastic)16O","15.0","15.0","28"," ","J.H.Dave,C.R.Gould","1983","Physical Review,Part C,Nuclear Physics 28,2212 (1983)"
"14205002","14205.x4","O-16","N,EL","DA","Differential c/s with respect to angle for 16O(n,Elastic)16O","18.0","18.0","23"," ","J.P.Delaroche,M.S.Islam.R.W.Finlay","1986","Physical Review,Part C,Nuclear Physics 33,1826 (1986); Nuclear Physics,Section A 464,395 (1987)"
"14205003","14205.x4","O-16","N,EL","DA","Differential c/s with respect to angle for 16O(n,Elastic)16O","20.0","20.0","20"," ","J.P.Delaroche,M.S.Islam.R.W.Finlay","1986","Physical Review,Part C,Nuclear Physics 33,1826 (1986); Nuclear Physics,Section A 464,395 (1987)"
"14205004","14205.x4","O-16","N,EL","DA","Differential c/s with respect to angle for 16O(n,Elastic)16O","22.0","22.0","29"," ","J.P.Delaroche,M.S.Islam.R.W.Finlay","1986","Physical Review,Part C,Nuclear Physics 33,1826 (1986); Nuclear Physics,Section A 464,395 (1987)"
