subentry,measure,reaction,description,ENmin,ENmax,rows,uncertainties,authors,year,reference
"10047011","CS","N,TOT","Cross section for 16O(n,Total)","2.258","14.865","243","True","D.G.Foster Jr,D.W.Glasgow","1971","Physical Review,Part C,Nuclear Physics 3,576 (1971)"
"10096022","DA","N,A","times 4 pi Differential c/s with respect to angle for 16O(n,alpha)13C","7.93","11.0","8","False","J.K.Dickens,F.G.Perey","1970","Nuclear Science and Engineering 40,283 (1970)"
"10137007","CS","N,TOT","Cross section for 16O(n,Total)","1.7555","4.344600000000001","158","True","J.L.Fowler,C.H.Johnson,R.M.Feezel","1973","Physical Review,Part C,Nuclear Physics 8,545 (1973); 3rd Conf.Neutron Cross-Sections+Tech.,Knoxville 1971 1,179 (1971)"
"10141005","CS","N,G","Spectrum average Cross section for 16O(n,gamma)17O","0.03","0.03","1","True","B.J.Allen,R.L.Macklin","1971","Physical Review,Part C,Nuclear Physics 3,1737 (1971)"
"10197002","CS","N,TOT","Cross section for 16O(n,Total)","2.37","2.37","1","True","J.Kalyna,I.J.Taylor,L.J.Lidofsky","1970","Report other than progress report: NYO-73-340  (1970); Report other than progress report: NYO-73-293  (1969)"
"10276002","DA","N,EL","Differential c/s with respect to angle for 16O(n,Elastic)16O","4.34","8.56","138","False","W.E.Kinney,F.G.Perey","1972","Report other than progress report: ORNL-4780  (1972)"
"10276022","CS","N,EL","Cross section for 16O(n,Elastic)16O","4.34","8.56","8","True","W.E.Kinney,F.G.Perey","1972","Report other than progress report: ORNL-4780  (1972)"
"10331004","DA","N,EL","Differential c/s with respect to angle for 16O(n,Elastic)16O","7.4","9.5","24","True","W.P.Bucher,C.E.Hollandsworth,D.Mc Natt,R.Lamoreaux,A.Niiler,J.E.Youngblood","1974","Nuclear Science and Engineering 54,416 (1974); Report other than progress report: BRL-R-1652  (1973); Nuclear Instrum.and Methods in Physics Res. 111,237 (1973)"
"10437002","DA","N,EL","Differential c/s with respect to angle for 16O(n,Elastic)16O","5.05","6.25","28","True","D.L.Bernard,M.C.Taylor","1975","Conf.on Nucl.Cross-Sect.and Techn.,Washington 1975 2,938 (1975)"
"10668004","CS","N,G","Cross section for 16O(n,gamma)17O","2.5299999999999998e-08","2.5299999999999998e-08","1","True","A.B.Mcdonald,E.D.Earle,M.A.Lone,F.C.Khanna,H.C.Lee","1977","Nuclear Physics,Section A 281,325 (1977)"
"10859002","DA","N,EL","Differential c/s with respect to angle for 16O(n,Elastic)16O","9.211","14.933","267","False","S.G.Glendinning,S.El-Kadi,C.E.Nelson,F.O.Purser,C.R.Gould,L.W.Seagondollar","1982","Nuclear Science and Engineering 82,393 (1982)"
